rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_target,system,disk_published,p_thick_published,has_measured_velocity,disk,P_thick,paper_category_target,pre_visual_category_count,category_excess_before_visual_qc,paper_membership_status,berger_mass,berger_teff,berger_logg,berger_feh,berger_rad,rho_log,rho_log_upper,rho_log_lower,berger_age,berger2018_teff,berger2018_rad,berger2018_evol,berger2018_bin,archive_result_target_available,cloud_result_target_available,any_result_target_available,preferred_result_source
8593,4860678,K01602.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.899,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.03359398,3.558e-05,-3.558e-05,133.08355,0.00781,-0.00781,2454966.084,0.00781,-0.00781,0.0,,,,,,0.023,0.433,-0.022,4.026,0.224,-0.224,,,,95.6,8.8,-8.8,0.008811,0.000516,-0.000554,0.4083,0.02156,-0.19276,LS+MCMC,1.55,0.25,-0.39,0.0415,,,89.78,,,1529.0,,,1294.06,544.64,-613.37,5.835,0.308,-0.308,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2286,0.4641,q1_q17_dr25_koi,3.0804346,10.401874,12.3,2,415.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.9493,Mandel and Agol (2002 ApJ 580 171),,,004/004860/004860678/dv/kplr004860678-20160209194854_dvr.pdf,004/004860/004860678/dv/kplr004860678-002-20160209194854_dvs.pdf,5557.0,83.0,-72.0,4.037,0.21,-0.09,0.16,0.15,-0.1,1.616,0.254,-0.413,1.035,0.085,-0.094,,,,q1_q17_dr25_stellar,297.79691,39.921371,14.943,15.483,14.902,14.712,14.631,13.705,13.349,13.302,0.003,19.853196,3.1e-05,39.92158,0.00033,2.8,1.3,0.8,1.2,-0.00023,0.00012,-0.00011,0.00011,0.61,0.85,0.12,0.68,0.62,0.77,0.4,0.9,0.0,0.67,0.4,0.89,K01602,multi,thick,0.9997,False,thick,0.9997,207,212,5,candidate_in_category_with_unpublished_final_rejections,1.323,6556.9,4.195,0.005,1.509,-0.426,-1.194,-1.267,1.79,5563.0,1.669,1.0,0.0,False,False,False,missing
1013,4860678,K01602.01,Kepler-1758 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.993,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,9.97716876,8.015e-05,-8.015e-05,137.2361,0.00549,-0.00549,2454970.236,0.00549,-0.00549,0.0,,,,,,0.002,0.448,-0.002,5.908,0.22,-0.22,,,,252.9,12.7,-12.7,0.014328,0.000734,-0.000326,0.42718,0.04293,-0.16291,LS+MCMC,2.53,0.4,-0.65,0.0919,,,89.99,,,1028.0,,,263.89,111.06,-125.08,13.1,1.3,-1.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2286,0.4641,q1_q17_dr25_koi,4.0870767,18.558228,21.8,2,137.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.7443,Mandel and Agol (2002 ApJ 580 171),,,004/004860/004860678/dv/kplr004860678-20160209194854_dvr.pdf,004/004860/004860678/dv/kplr004860678-001-20160209194854_dvs.pdf,5557.0,83.0,-72.0,4.037,0.21,-0.09,0.16,0.15,-0.1,1.616,0.254,-0.413,1.035,0.085,-0.094,,,,q1_q17_dr25_stellar,297.79691,39.921371,14.943,15.483,14.902,14.712,14.631,13.705,13.349,13.302,0.373,19.853127,1.7e-05,39.92137,0.00019,-0.03,0.72,0.01,0.68,7e-05,0.00017,-0.00011,0.00016,-0.09,0.59,-0.53,0.53,0.53,0.55,-0.3,0.67,-0.66,0.49,0.72,0.6,K01602,multi,thick,0.9997,False,thick,0.9997,207,212,5,candidate_in_category_with_unpublished_final_rejections,1.323,6556.9,4.195,0.005,1.509,-0.426,-1.194,-1.267,1.79,5563.0,1.669,1.0,0.0,False,False,False,missing
1535,2975770,K01788.01,Kepler-951 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.933,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,71.52543938,9.47e-05,-9.47e-05,191.69147,0.00104,-0.00104,2455024.691,0.00104,-0.00104,0.0,,,,,,0.066,0.293,-0.066,5.9189,0.0564,-0.0564,,,,5904.3,59.5,-59.5,0.06781,0.001527,-0.000556,3.52177,0.01693,-0.85507,LS+MCMC,5.76,0.22,-0.35,0.3091,,,89.96,,,340.0,,,3.15,0.46,-0.56,98.388,0.473,-0.473,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1054,0.6323,q1_q17_dr25_koi,57.922966,110.04745,111.3,2,8.0,1.0,q1_q17_dr25_tce,110011001100110000000000000000,0.9821,Mandel and Agol (2002 ApJ 580 171),,,002/002975/002975770/dv/kplr002975770-20160209194854_dvr.pdf,002/002975/002975770/dv/kplr002975770-001-20160209194854_dvs.pdf,4855.0,77.0,-87.0,4.542,0.056,-0.02,0.12,0.15,-0.15,0.778,0.029,-0.047,0.769,0.048,-0.028,,,,q1_q17_dr25_stellar,287.73755,38.114559,14.521,15.413,14.462,14.138,14.005,12.92,12.382,12.251,0.0,19.1824997,2.5e-06,38.114525,3.4e-05,-0.18,0.11,-0.12,0.12,0.0011,0.0011,0.0018,0.0014,-0.016,0.089,-0.04,0.11,0.05,0.11,0.028,0.086,0.1,0.15,0.11,0.15,K01788,multi,thick,1.0,True,thick,1.0,207,212,5,candidate_in_category_with_unpublished_final_rejections,0.701,4718.4,4.596,-0.137,0.697,0.314,-0.88,-0.933,,4850.0,0.689,0.0,0.0,False,False,False,missing
1701,9022166,K02175.01,Kepler-368 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.989,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,26.8475962,0.0001572,-0.0001572,142.17023,0.00479,-0.00479,2454975.17,0.00479,-0.00479,0.0,,,,,,0.457,0.421,-0.256,10.068,0.119,-0.119,,,,254.1,7.1,-7.1,0.01474,8.5e-05,-0.000638,0.16528,0.07269,-0.00608,LS+MCMC,3.2,0.55,-0.82,0.1833,,,88.58,,,800.0,,,96.89,46.92,-47.08,18.47,8.1,-8.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2329,0.4554,q1_q17_dr25_koi,6.623207,23.146439,39.2,2,27.0,1.0,q1_q17_dr25_tce,10101010101010101000000000000000,0.6452,Mandel and Agol (2002 ApJ 580 171),,,009/009022/009022166/dv/kplr009022166-20160209194854_dvr.pdf,009/009022/009022166/dv/kplr009022166-001-20160209194854_dvs.pdf,5508.0,110.0,,3.897,0.195,-0.09,0.1,0.15,-0.15,1.988,0.34,-0.51,1.136,0.127,-0.175,,,,q1_q17_dr25_stellar,291.88004,45.387932,12.848,13.366,12.794,12.626,12.539,11.6,11.229,11.175,0.032,19.4586753,8.2e-06,45.387986,7.8e-05,0.2,0.31,0.2,0.28,-8.7e-05,7.9e-05,-8.9e-05,7.1e-05,-0.22,0.18,-0.58,0.25,0.63,0.28,-0.35,0.2,-0.73,0.29,0.81,0.27,K02175,multi,thick,0.8953,True,thick,0.8953,207,212,5,candidate_in_category_with_unpublished_final_rejections,1.22,5687.5,3.89,0.131,2.064,-0.868,-1.814,-1.939,5.09,5459.0,2.129,1.0,0.0,False,False,False,missing
3702,9022166,K02175.02,Kepler-368 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.001,0,0,0,0,q1_q17_dr25_sup_koi,DEPTH_ODDEVEN_ALT,72.3826983,0.0006953,-0.0006953,179.49813,0.00787,-0.00787,2455012.498,0.00787,-0.00787,0.0,,,,,,0.791,0.126,-0.547,8.279,0.164,-0.164,,,,366.4,13.1,-13.1,0.019396,0.002706,-0.002065,0.28658,0.76814,-0.2035,LS+MCMC,4.21,0.72,-1.08,0.355,,,88.95,,,575.0,,,25.83,12.51,-12.55,43.0,19.2,-19.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2329,0.4554,q1_q17_dr25_koi,7.6299343,19.336872,29.5,2,9.0,2.0,q1_q17_dr25_tce,10101010101010101000000000000000,0.5036,Mandel and Agol (2002 ApJ 580 171),,,009/009022/009022166/dv/kplr009022166-20160209194854_dvr.pdf,009/009022/009022166/dv/kplr009022166-002-20160209194854_dvs.pdf,5508.0,110.0,0.0,3.897,0.195,-0.09,0.1,0.15,-0.15,1.988,0.34,-0.51,1.136,0.127,-0.175,,,,q1_q17_dr25_stellar,291.88004,45.387932,12.848,13.366,12.794,12.626,12.539,11.6,11.229,11.175,0.97,19.458664,1.2e-05,45.38789,0.00011,-0.23,0.44,-0.15,0.4,3e-05,0.00016,0.0,0.00014,-0.52,0.3,0.07,0.24,0.52,0.3,-0.65,0.28,-0.08,0.25,0.66,0.28,K02175,multi,thick,0.8953,True,thick,0.8953,207,212,5,candidate_in_category_with_unpublished_final_rejections,1.22,5687.5,3.89,0.131,2.064,-0.868,-1.814,-1.939,5.09,5459.0,2.129,1.0,0.0,False,False,False,missing
2629,6607357,K02838.02,Kepler-1365 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.936,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,4.77466043,4.201e-05,-4.201e-05,135.16338,0.00743,-0.00743,2454968.163,0.00743,-0.00743,0.0,,,,,,0.03,0.433,-0.03,3.804,0.173,-0.173,,,,54.3,3.9,-3.9,0.006682,0.000335,-0.000332,0.74965,0.04967,-0.3456,LS+MCMC,0.81,0.12,-0.12,0.0545,,,89.82,,,1137.0,,,395.06,169.23,-128.9,9.667,0.641,-0.641,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2622,0.4035,q1_q17_dr25_koi,3.069145,12.583753,15.5,2,265.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0175,Mandel and Agol (2002 ApJ 580 171),,,006/006607/006607357/dv/kplr006607357-20160209194854_dvr.pdf,006/006607/006607357/dv/kplr006607357-002-20160209194854_dvs.pdf,5727.0,115.0,-104.0,4.328,0.132,-0.108,0.0,0.15,-0.15,1.104,0.164,-0.164,0.946,0.079,-0.057,,,,q1_q17_dr25_stellar,292.19971,42.046089,13.421,13.896,13.353,13.218,13.155,12.251,11.925,11.857,0.003,19.479965,2.1e-05,42.04562,0.00022,-0.64,0.83,-1.69,0.79,3.4e-05,4.2e-05,6.5e-05,4e-05,0.88,0.69,-0.22,0.59,0.91,0.55,0.71,0.68,-0.58,0.59,0.92,0.27,K02838,multi,thick,0.9933,True,thick,0.9933,207,212,5,candidate_in_category_with_unpublished_final_rejections,1.18,5796.2,4.091,0.206,1.623,-0.561,-1.549,-1.47,5.49,5700.0,1.646,1.0,2.0,False,False,False,missing
2628,6607357,K02838.01,Kepler-1365 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.996,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,7.69994466,4.918e-05,-4.918e-05,134.39282,0.00601,-0.00601,2454967.393,0.00601,-0.00601,0.0,,,,,,0.018,0.436,-0.018,4.432,0.168,-0.168,,,,70.9,4.5,-4.5,0.007635,0.000368,-0.000289,0.76505,0.06726,-0.30548,LS+MCMC,0.92,0.14,-0.14,0.075,,,89.92,,,969.0,,,208.61,89.36,-68.07,13.38,1.2,-1.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2622,0.4035,q1_q17_dr25_koi,3.7344244,14.145231,17.4,2,176.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.847,Mandel and Agol (2002 ApJ 580 171),,,006/006607/006607357/dv/kplr006607357-20160209194854_dvr.pdf,006/006607/006607357/dv/kplr006607357-001-20160209194854_dvs.pdf,5727.0,115.0,-104.0,4.328,0.132,-0.108,0.0,0.15,-0.15,1.104,0.164,-0.164,0.946,0.079,-0.057,,,,q1_q17_dr25_stellar,292.19971,42.046089,13.421,13.896,13.353,13.218,13.155,12.251,11.925,11.857,0.003,19.479978,1.7e-05,42.0463,0.00019,-0.1,0.7,0.75,0.67,9e-06,5e-05,-8.2e-05,4.8e-05,0.08,0.29,0.5,0.48,0.51,0.48,-0.05,0.3,0.18,0.47,0.19,0.46,K02838,multi,thick,0.9933,True,thick,0.9933,207,212,5,candidate_in_category_with_unpublished_final_rejections,1.18,5796.2,4.091,0.206,1.623,-0.561,-1.549,-1.47,5.49,5700.0,1.646,1.0,2.0,False,False,False,missing
9085,8105398,K05475.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.981,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,5.68325648,3.749e-05,-3.749e-05,134.87698,0.00599,-0.00599,2454967.877,0.00599,-0.00599,0.0,,,,,,0.844,0.12,-0.62,1.778,0.163,-0.163,,,,44.6,5.3,-5.3,0.006922,0.001692,-0.000896,1.41961,7.62164,-1.23418,LS+MCMC,0.97,0.19,-0.29,0.0584,,,86.4,,,1257.0,,,589.92,354.24,-324.43,13.43,6.6,-6.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3001,0.3078,q1_q17_dr25_koi,2.4699445,7.1500635,10.0,2,233.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.1707,Mandel and Agol (2002 ApJ 580 171),,,008/008105/008105398/dv/kplr008105398-20160209194854_dvr.pdf,008/008105/008105398/dv/kplr008105398-002-20160209194854_dvs.pdf,6072.0,167.0,-137.0,4.133,0.301,-0.129,-0.76,0.3,-0.2,1.286,0.255,-0.383,0.818,0.106,-0.049,,,,q1_q17_dr25_stellar,294.49487,43.91362,13.093,13.474,13.055,12.93,12.873,12.033,11.731,11.66,0.297,19.632966,3.8e-05,43.9133,0.00045,-1.0,1.5,-1.2,1.6,4.5e-05,5.8e-05,3.9e-05,6.4e-05,-0.29,0.74,-0.79,0.62,0.84,0.72,-0.17,0.77,-0.89,0.54,0.91,0.6,K05475,multi,thick,0.6535,True,thick,0.6535,207,212,5,candidate_in_category_with_unpublished_final_rejections,1.173,6186.4,4.167,-0.132,1.474,-0.443,-1.434,-1.463,3.72,6071.0,1.507,0.0,2.0,False,False,False,missing
3584,5780885,K00097.01,Kepler-7 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.999,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---PLANET_OCCULT_DV---MOD_SEC_ALT---PLANET_OCCULT_ALT---HAS_SEC_TCE,4.885488596,2.66e-07,-2.66e-07,134.2768785,4.53e-05,-4.53e-05,2454967.277,4.53e-05,-4.53e-05,0.0,,,,,,0.361,0.014,-0.017,5.16165,0.00597,-0.00597,,,,7458.4,3.7,-3.7,0.079898,9.4e-05,-0.000126,0.32016,0.00633,-0.00596,LS+MCMC,16.66,1.04,-0.7,0.0605,,,87.2,,,1496.0,,,1182.79,223.79,-147.95,7.392,0.146,-0.146,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2891,0.3589,q1_q17_dr25_koi,185.89848,2252.0361,2590.1,1,277.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.2698,Mandel and Agol (2002 ApJ 580 171),,,005/005780/005780885/dv/kplr005780885-20160209194854_dvr.pdf,005/005780/005780885/dv/kplr005780885-001-20160209194854_dvs.pdf,6036.0,78.0,-72.0,3.968,0.02,-0.016,0.1,0.1,-0.1,1.909,0.12,-0.08,1.236,0.154,-0.066,,,,q1_q17_dr25_stellar,288.58151,41.089809,12.885,13.26,12.815,12.724,12.683,11.833,11.601,11.535,0.0,19.238767697,8.9e-08,41.08975656,9.5e-07,-0.0123,0.0036,-0.1924,0.0034,0.000285,7.8e-05,-2e-05,0.0001,-0.037,0.067,0.015,0.067,0.039,0.067,-0.035,0.069,-0.212,0.068,0.215,0.068,K00097,single,thick,0.998,True,thick,0.998,275,275,0,category_count_exact_before_visual_qc,1.435,6164.0,3.99,0.206,1.994,-0.751,-1.744,-1.771,2.41,6084.0,2.023,1.0,2.0,False,False,False,missing
1131,6442377,K00176.01,Kepler-483 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,30.22910274,7.356e-05,-7.356e-05,134.52081,0.00193,-0.00193,2454967.521,0.00193,-0.00193,0.0,,,,,,0.77,0.118,-0.528,6.6751,0.0737,-0.0737,,,,443.4,7.0,-7.0,0.021046,0.000147,-0.001615,0.25832,0.53863,-0.02268,LS+MCMC,3.49,0.62,-0.62,0.2072,,,88.1,,,755.0,,,76.88,37.74,-29.38,23.19,9.7,-9.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3061,0.3279,q1_q17_dr25_koi,12.292663,53.19904,71.7,1,46.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.5182,Mandel and Agol (2002 ApJ 580 171),,,006/006442/006442377/dv/kplr006442377-20160209194854_dvr.pdf,006/006442/006442377/dv/kplr006442377-001-20160209194854_dvs.pdf,6325.0,113.0,-138.0,4.188,0.125,-0.125,0.16,0.15,-0.15,1.518,0.271,-0.271,1.296,0.094,-0.129,,,,q1_q17_dr25_stellar,291.64676,41.884659,13.432,13.724,13.393,13.307,13.3,12.516,12.251,12.222,0.267,19.4431249,5.2e-06,41.884724,5.5e-05,0.33,0.21,0.23,0.2,-0.000102,9.1e-05,-2e-05,8.7e-05,-0.14,0.14,0.09,0.21,0.16,0.16,-0.07,0.13,0.23,0.21,0.24,0.2,K00176,single,thick,0.91,True,thick,0.91,275,275,0,category_count_exact_before_visual_qc,1.226,6566.1,4.279,-0.218,1.323,-0.283,-1.332,-1.364,1.7,6319.0,1.358,0.0,0.0,False,False,False,missing
