,koi_id,kic_id,npl,period,epoch,depth,duration,impact,limbdark_1,limbdark_2
0,K00004,3861595,1,3.849371737,157.526686,1298.6,2.632,0.915,0.3133,0.3033
1,K00012,5812701,1,17.855221681,146.596466,9065.2,7.41287,0.075,0.2758,0.3272
2,K00089,8056665,2,84.6877524,150.57084,347.7,10.0248,0.017,0.2734,0.318
3,K00089,8056665,2,207.5829306,289.88311,505.1,7.0686,0.84,0.2734,0.318
4,K00094,6462863,4,3.743166733,131.61967,126.3,3.6888,0.008,0.3201,0.305
5,K00094,6462863,4,10.423677439,138.009041,777.3,5.2257,0.005,0.3201,0.305
6,K00094,6462863,4,22.342964828,132.741641,5612.8,6.66405,0.031,0.3201,0.305
7,K00094,6462863,4,54.31996151,161.239869,1975.0,8.5858,0.497,0.3201,0.305
8,K00097,5780885,1,4.885488596,134.2768785,7458.4,5.16165,0.361,0.3589,0.2891
9,K00107,11250587,1,7.256962446,134.023923,463.2,4.9402,0.676,0.4133,0.26
10,K00131,7778437,1,5.014234733,133.174289,6536.0,4.589,0.066,0.3031,0.3155
11,K00134,9032900,1,67.5923754,151.75056,4158.1,12.249,0.728,0.3747,0.2845
12,K00152,8394721,4,13.48457668,136.61808,653.5,5.0197,0.011,0.3201,0.305
13,K00152,8394721,4,27.40229859,133.6284,747.5,6.8491,0.022,0.3201,0.305
14,K00152,8394721,4,52.09081627,158.744665,2894.1,8.6388,0.065,0.3201,0.305
15,K00152,8394721,4,81.0637895,139.53492,476.0,3.001,0.584,0.3201,0.305
16,K00155,8030148,1,5.660669429,137.416045,737.8,4.6483,0.477,0.3928,0.2676
17,K00176,6442377,1,30.22910274,134.52081,443.4,6.6751,0.77,0.3279,0.3061
18,K00238,7219825,3,17.23232894,135.0922,509.8,4.5568,0.395,0.3447,0.2916
19,K00238,7219825,3,26.6951944,143.9999,132.6,4.576,0.136,0.3447,0.2916
20,K00238,7219825,3,362.97828,256.5011,260.6,14.083,0.055,0.3447,0.2916
21,K00281,4143755,1,19.55662003,189.04354,298.9,8.087,0.606,0.3719,0.2787
22,K00285,6196457,3,13.74883059,179.279158,425.9,6.0968,0.658,0.4133,0.26
23,K00285,6196457,3,26.723169,147.93696,195.0,8.501,0.035,0.4133,0.26
24,K00285,6196457,3,49.3567907,134.29533,130.2,10.954,0.277,0.4133,0.26
25,K00317,8121310,2,11.505879,136.2363,49.8,5.583,0.029,0.3403,0.3016
26,K00317,8121310,2,22.20809549,206.35965,463.2,7.3327,0.017,0.3403,0.3016
27,K00366,3545478,1,75.1122132,207.713987,3751.5,4.9458,0.838,0.3218,0.3096
28,K00393,3964109,1,21.41624083,176.24991,314.5,7.081,0.081,0.3239,0.3029
29,K00501,4951877,1,24.7962801,170.32595,574.4,8.33,0.01,0.4191,0.2555
30,K00611,6309763,1,3.251659087,171.0604906,4747.9,1.5286,0.938,0.319,0.302
31,K00629,4656049,1,40.6992062,172.57123,429.9,7.074,0.854,0.2923,0.3025
32,K00649,5613330,2,10.2090268,140.6805,36.7,6.264,0.213,0.344,0.3077
33,K00649,5613330,2,23.44970494,182.92295,315.6,8.6567,0.193,0.344,0.3077
