target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr,prior_launch_status,catalog_planets,mean_depth_ppm,runtime_proxy,shard_id
25,K00152,8394721,thin,multi,0.0711,4,"K00152.03,K00152.02,K00152.01,K00152.04",13.48457668,81.0637895,243.5,4,"K00152.03,K00152.02,K00152.01,K00152.04",13.48457668,81.0637895,243.5,not_in_previous_592_target_launch,4,1192.775,5.5,1
27,K00285,6196457,thin,multi,0.1961,3,"K00285.01,K00285.02,K00285.03",13.74883059,49.3567907,167.6,3,"K00285.01,K00285.02,K00285.03",13.74883059,49.3567907,167.6,not_in_previous_592_target_launch,3,250.36666666666665,4.35,1
41,K03398,3561464,thin,multi,0.3682,3,"K03398.03,K03398.01,K03398.02",4.32710579,35.8007112,25.0,3,"K03398.03,K03398.01,K03398.02",4.32710579,35.8007112,25.0,not_in_previous_592_target_launch,3,222.76666666666665,4.35,1
29,K00649,5613330,thin,multi,0.0446,2,"K00649.02,K00649.01",10.2090268,23.44970494,67.9,2,"K00649.02,K00649.01",10.2090268,23.44970494,67.9,previously_launched_no_usable_result,2,176.15,3.0500000000000003,1
31,K01221,3640905,thin,multi,0.1105,2,"K01221.01,K01221.02",30.1599411,51.0771048,32.3,2,"K01221.01,K01221.02",30.1599411,51.0771048,32.3,previously_launched_no_usable_result,2,158.7,3.0500000000000003,1
0,K01602,4860678,thick,multi,0.9997,2,"K01602.02,K01602.01",3.03359398,9.97716876,21.8,2,"K01602.02,K01602.01",3.03359398,9.97716876,21.8,not_in_previous_592_target_launch,2,174.25,2.85,1
3,K02838,6607357,thick,multi,0.9933,2,"K02838.02,K02838.01",4.77466043,7.69994466,17.4,2,"K02838.02,K02838.01",4.77466043,7.69994466,17.4,not_in_previous_592_target_launch,2,62.6,2.85,1
23,K00089,8056665,thin,multi,0.0489,1,K00089.01,84.6877524,84.6877524,95.1,1,K00089.01,84.6877524,84.6877524,95.1,not_in_previous_592_target_launch,2,426.4,2.85,1
30,K00972,11013201,thin,multi,0.0543,2,"K00972.02,K00972.01",7.82187328,13.118962443,267.4,2,"K00972.02,K00972.01",7.82187328,13.118962443,267.4,not_in_previous_592_target_launch,2,207.2,2.85,1
34,K02011,5384079,thin,multi,0.0949,2,"K02011.01,K02011.02",7.05675145,17.2653659,25.2,2,"K02011.01,K02011.02",7.05675145,17.2653659,25.2,not_in_previous_592_target_launch,2,98.95,2.85,1
40,K03341,5621333,thin,multi,0.2975,2,"K03341.02,K03341.01",11.5474983,27.0965146,16.4,2,"K03341.02,K03341.01",11.5474983,27.0965146,16.4,not_in_previous_592_target_launch,2,161.95,2.85,1
44,K03500,6058816,thin,multi,0.0781,2,"K03500.02,K03500.01",4.7482669,73.7502765,33.9,2,"K03500.02,K03500.01",4.7482669,73.7502765,33.9,not_in_previous_592_target_launch,2,134.35,2.85,1
46,K04913,5769810,thin,multi,0.0498,2,"K04913.01,K04913.02",6.78788113,8.97377221,9.4,2,"K04913.01,K04913.02",6.78788113,8.97377221,9.4,not_in_previous_592_target_launch,2,89.8,2.85,1
47,K06118,4739229,thin,multi,0.0429,1,K06118.02,4.66185924,4.66185924,15.8,1,K06118.02,4.66185924,4.66185924,15.8,not_in_previous_592_target_launch,2,255.0,2.85,1
1,K01788,2975770,thick,multi,1.0,1,K01788.01,71.52543938,71.52543938,111.3,1,K01788.01,71.52543938,71.52543938,111.3,previously_launched_no_usable_result,2,3425.1,2.7,1
7,K00281,4143755,thick,single,0.5522,1,K00281.01,19.55662003,19.55662003,111.0,1,K00281.01,19.55662003,19.55662003,111.0,previously_launched_no_usable_result,1,298.9,1.55,1
9,K02046,10663396,thick,single,0.9929,1,K02046.01,23.8990075,23.8990075,61.5,1,K02046.01,23.8990075,23.8990075,61.5,previously_launched_no_usable_result,1,293.4,1.55,1
16,K04775,8626325,thick,single,0.9777,1,K04775.01,16.4491515,16.4491515,11.0,1,K04775.01,16.4491515,16.4491515,11.0,previously_launched_no_usable_result,1,70.9,1.55,1
