target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr
148,K07759,6043538,thick,single,0.9964452360580732,1,K07759.01,6.2253374,6.2253374,11.8,1,K07759.01,6.2253374,6.2253374,11.8
149,K07849,7778664,thick,single,0.9975580150617662,1,K07849.01,5.0263815,5.0263815,8.5,1,K07849.01,5.0263815,5.0263815,8.5
150,K07905,8702537,thick,single,0.999999999782526,1,K07905.01,7.4751841,7.4751841,9.2,1,K07905.01,7.4751841,7.4751841,9.2
151,K07991,10198225,thick,single,0.9997290439100138,1,K07991.01,11.9451376,11.9451376,12.4,1,K07991.01,11.9451376,11.9451376,12.4
152,K08054,11443757,thick,single,0.9999999854560232,1,K08054.01,43.9088053,43.9088053,13.7,1,K08054.01,43.9088053,43.9088053,13.7
153,K08257,5683219,thick,single,0.9735581224966032,1,K08257.01,9.4609418,9.4609418,7.9,1,K08257.01,9.4609418,9.4609418,7.9
154,K00046,10905239,thin,multi,0.0616480303728405,2,"K00046.01,K00046.02",3.487688776,6.02977241,350.6,2,"K00046.01,K00046.02",3.487688776,6.02977241,350.6
155,K00085,5866724,thin,multi,0.0257622610279958,3,"K00085.02,K00085.01,K00085.03",2.154911236,8.13121389,186.7,3,"K00085.01,K00085.02,K00085.03",2.154911236,8.13121389,186.7
156,K00108,4914423,thin,multi,0.0768821888831133,1,K00108.01,15.96532718,15.96532718,144.2,1,K00108.01,15.96532718,15.96532718,144.2
157,K00117,10875245,thin,multi,0.1990030711721081,4,"K00117.03,K00117.02,K00117.04,K00117.01",3.180027898,14.74914825,107.4,4,"K00117.02,K00117.01,K00117.04,K00117.03",3.180027898,14.74914825,107.4
158,K00168,11512246,thin,multi,0.0310861118121547,3,"K00168.03,K00168.01,K00168.02",7.10695741,15.27443889,95.4,3,"K00168.03,K00168.01,K00168.02",7.10695741,15.27443889,95.4
159,K00209,10723750,thin,multi,0.3064536410488668,2,"K00209.02,K00209.01",18.79591276,50.79034648,508.8,2,"K00209.01,K00209.02",18.79591276,50.79034648,508.8
160,K00223,4545187,thin,multi,0.0575587575827514,2,"K00223.01,K00223.02",3.177414601,41.0081117,113.7,2,"K00223.01,K00223.02",3.177414601,41.0081117,113.7
161,K00260,8292840,thin,multi,0.0239233373947419,2,"K00260.01,K00260.03",10.49566303,21.86965714,48.7,2,"K00260.03,K00260.01",10.49566303,21.86965714,48.7
162,K00274,8077137,thin,multi,0.0285374756921225,2,"K00274.01,K00274.02",15.0896415,22.8030252,29.5,2,"K00274.01,K00274.02",15.0896415,22.8030252,29.5
163,K00275,10586004,thin,multi,0.1595736386367991,2,"K00275.01,K00275.02",15.79196594,82.2001239,77.3,2,"K00275.01,K00275.02",15.79196594,82.2001239,77.3
164,K00283,5695396,thin,multi,0.0287357474882936,1,K00283.03,9.48814747,9.48814747,11.1,3,"K00283.01,K00283.02,K00283.03",9.48814747,25.5172744,84.9
165,K00312,7050989,thin,multi,0.2164482284829898,2,"K00312.01,K00312.02",11.57890926,16.39926461,54.8,2,"K00312.01,K00312.02",11.57890926,16.39926461,54.8
166,K00330,11361646,thin,multi,0.0606595916615844,2,"K00330.02,K00330.01",1.88899036,7.97420583,55.1,2,"K00330.01,K00330.02",1.88899036,7.97420583,55.1
167,K00331,10285631,thin,multi,0.0326584562265508,2,"K00331.02,K00331.01",10.52286678,18.68405716,54.2,2,"K00331.01,K00331.02",10.52286678,18.68405716,54.2
168,K00370,8494142,thin,multi,0.0423318722526556,2,"K00370.02,K00370.01",22.95062278,42.88247951,112.2,2,"K00370.01,K00370.02",22.95062278,42.88247951,112.2
169,K00377,3323887,thin,multi,0.0370272442588346,2,"K00377.03,K00377.02",1.59295975,38.90787517,366.1,3,"K00377.01,K00377.02,K00377.03",1.59295975,38.90787517,577.1
170,K00416,6508221,thin,multi,0.2891103251632897,1,K00416.04,31.5322987,31.5322987,7.8,4,"K00416.01,K00416.02,K00416.03,K00416.04",9.74765878,88.2553729,157.3
171,K00460,8043638,thin,multi,0.0482591292004801,1,K00460.02,36.0484798,36.0484798,8.5,2,"K00460.01,K00460.02",17.58751692,36.0484798,109.4
172,K00547,12116489,thin,multi,0.045015298466923,1,K00547.02,7.34672485,7.34672485,10.1,3,"K00547.01,K00547.03,K00547.02",7.34672485,25.30291816,117.7
173,K00572,8193178,thin,multi,0.248952787674769,2,"K00572.02,K00572.01",4.93883135,10.64021008,58.6,2,"K00572.01,K00572.02",4.93883135,10.64021008,58.6
174,K00627,4563268,thin,multi,0.02829937053976,2,"K00627.02,K00627.01",4.16536757,7.75192755,77.3,2,"K00627.02,K00627.01",4.16536757,7.75192755,77.3
175,K00647,5531694,thin,multi,0.1618144438451982,2,"K00647.01,K00647.02",5.16949729,8.1134681,66.2,2,"K00647.01,K00647.02",5.16949729,8.1134681,66.2
176,K00649,5613330,thin,multi,0.032758361477636,2,"K00649.02,K00649.01",10.2090268,23.44970494,67.9,2,"K00649.01,K00649.02",10.2090268,23.44970494,67.9
177,K00679,7515212,thin,multi,0.0330350145773026,2,"K00679.02,K00679.01",16.2580276,31.80475991,73.4,2,"K00679.01,K00679.02",16.2580276,31.80475991,73.4
178,K00691,8480285,thin,multi,0.046224100610937,2,"K00691.02,K00691.01",16.2254975,29.66631669,95.3,2,"K00691.01,K00691.02",16.2254975,29.66631669,95.3
179,K00693,8738735,thin,multi,0.2795767350415303,2,"K00693.02,K00693.01",15.66057688,28.7796446,67.5,2,"K00693.01,K00693.02",15.66057688,28.7796446,67.5
180,K00708,9530945,thin,multi,0.1471470842180232,2,"K00708.02,K00708.01",7.69363627,17.40665216,85.7,2,"K00708.01,K00708.02",7.69363627,17.40665216,85.7
181,K00710,9590976,thin,multi,0.0331495973314439,3,"K00710.03,K00710.01,K00710.02",3.88688862,8.58600968,49.0,3,"K00710.01,K00710.02,K00710.03",3.88688862,8.58600968,49.0
182,K00806,3832474,thin,multi,0.0454764893810124,1,K00806.03,29.1598615,29.1598615,11.6,2,"K00806.02,K00806.03",29.1598615,60.32494216,347.2
183,K00834,5436502,thin,multi,0.0431175541474305,5,"K00834.04,K00834.03,K00834.02,K00834.01,K00834.05",2.090811305,50.4467417,266.3,5,"K00834.01,K00834.02,K00834.03,K00834.04,K00834.05",2.090811305,50.4467417,266.3
184,K00853,6428700,thin,multi,0.0553302383944483,2,"K00853.01,K00853.02",8.20396958,14.49645186,54.4,2,"K00853.01,K00853.02",8.20396958,14.49645186,54.4
185,K00945,9605514,thin,multi,0.0278326485826891,1,K00945.03,66.789347,66.789347,9.5,3,"K00945.01,K00945.02,K00945.03",25.8474958,66.789347,28.9
186,K00992,1432789,thin,multi,0.025994323556775,2,"K00992.02,K00992.01",4.57834367,9.93146307,26.2,2,"K00992.01,K00992.02",4.57834367,9.93146307,26.2
187,K00993,1718189,thin,multi,0.0365623683034136,1,K00993.03,86.723653,86.723653,9.4,3,"K00993.01,K00993.02,K00993.03",13.0607936,86.723653,23.0
188,K01001,1871056,thin,multi,0.031344842274014,1,K01001.01,40.8065333,40.8065333,54.8,1,K01001.01,40.8065333,40.8065333,54.8
189,K01060,5880320,thin,multi,0.0306428236453291,4,"K01060.02,K01060.04,K01060.01,K01060.03",4.75796103,20.4972755,33.4,4,"K01060.01,K01060.02,K01060.03,K01060.04",4.75796103,20.4972755,33.4
190,K01070,8240904,thin,multi,0.0342069367042851,1,K01070.03,92.77779,92.77779,5.2,2,"K01070.01,K01070.03",6.61836309,92.77779,31.5
191,K01110,2837111,thin,multi,0.0441568687692433,2,"K01110.02,K01110.01",3.71840884,8.7348852,24.8,2,"K01110.01,K01110.02",3.71840884,8.7348852,24.8
192,K01175,10350571,thin,multi,0.026869567530963,2,"K01175.02,K01175.01",17.157236,31.5925809,25.5,2,"K01175.01,K01175.02",17.157236,31.5925809,25.5
193,K01194,3554031,thin,multi,0.1341940436637714,1,K01194.02,14.8623076,14.8623076,14.4,3,"K01194.01,K01194.02,K01194.03",4.17634276,14.8623076,28.1
194,K01221,3640905,thin,multi,0.2128760076241186,2,"K01221.01,K01221.02",30.1599411,51.0771048,32.3,2,"K01221.01,K01221.02",30.1599411,51.0771048,32.3
195,K01413,9006449,thin,multi,0.1559867512999037,3,"K01413.01,K01413.02,K01413.03",12.64504291,33.8845825,32.7,3,"K01413.01,K01413.02,K01413.03",12.64504291,33.8845825,32.7
196,K01576,5299459,thin,multi,0.0248250025318687,1,K01576.03,23.3397956,23.3397956,4.5,3,"K01576.01,K01576.02,K01576.03",10.41572666,23.3397956,69.3
197,K01581,7939330,thin,multi,0.0700500876677418,1,K01581.01,29.5422566,29.5422566,39.5,1,K01581.01,29.5422566,29.5422566,39.5
198,K01601,5438757,thin,multi,0.0552116066719588,2,"K01601.01,K01601.02",10.35078415,62.9224936,36.5,2,"K01601.01,K01601.02",10.35078415,62.9224936,36.5
199,K01616,9015738,thin,multi,0.0430953520804974,1,K01616.02,34.775371,34.775371,5.7,2,"K01616.01,K01616.02",13.93291548,34.775371,28.9
