koi_target,kepid,kepoi_name,koi_period,alderaan_planet_index,alderaan_period_days,period_relative_difference,disk,system,e16,e50,e84,zeta_median,zeta_p16,zeta_p84,n_zeta,impact_mode,posterior_file,npl,dur14_med_hr,ror_med,b_med,koi_duration,koi_depth,koi_impact,koi_ror,dur_ratio_fit_vs_koi,depth_fit_ppm,depth_ratio_fit_vs_koi,ror_ratio_fit_vs_koi,b_bin,bfit_bin
K00064,7051180,K00064.01,1.951082219,0,1.9510541800000285,1.4370998668618138e-05,thick,single,0.5298242050186132,0.7916436928756146,0.8716561491386711,0.3681344943126419,0.3204464904427525,0.5886929445932658,4000,geometric,posteriors_48/K00064_K00064_01_eomega_posterior.npz,1,1.7424228072267396,0.039291106366823016,0.9368508821173328,1.6975,1151.8,0.925,0.039073,1.0264640985135431,1543.7910395290003,1.3403290845016498,1.0055820225430097,>0.9,>0.9
K00179,9663113,K00179.01,20.74028645,0,20.740123635000003,7.85018087326998e-06,thick,multi,0.0686557298456517,0.2242741962205492,0.5573896687799047,1.2038940117185248,1.0596698114139982,1.8878570704991264,4000,geometric,posteriors_48/K00179_K00179_01_eomega_posterior.npz,1,10.317598657902693,0.029465510380104996,0.28497528767584085,10.3939,1023.3,0.431,0.029861,0.992659026727474,868.2163019600753,0.8484474757745288,0.986755647168715,<0.5,<0.5
K00204,9305831,K00204.01,3.246732048,0,3.2467146499998307,5.358619039763097e-06,thick,single,0.1174758672957561,0.2848707344154647,0.5833641593429145,0.9021523967360492,0.7902308746879765,1.4295832201683667,4000,geometric,posteriors_48/K00204_K00204_01_eomega_posterior.npz,1,3.0846283680724236,0.07951124986906682,0.5786517030670734,3.0535,6998.2,0.475,0.077925,1.0101943239143356,6322.038855741179,0.9033807058588178,1.0203561099655674,<0.5,0.5-0.8
K00277,11401755,K00277.02,13.84984567,0,13.847114340000076,0.0001972101397376,thick,multi,0.0362391351609465,0.1630362635018011,0.5019319158281805,1.1249069134698786,0.9849152732969976,1.836190341765734,4000,geometric,posteriors_48/K00277_K00277_02_eomega_posterior.npz,2,6.993376172456268,0.00898493867980161,0.6725218522391129,7.2783,84.6,0.012,0.008397,0.9608529701243791,80.7291230797951,0.9542449536618807,1.0700177063000609,<0.5,0.5-0.8
K00277,11401755,K00277.01,16.23191704,1,16.235983169999997,0.0002505021427831,thick,multi,0.0359181960414643,0.1601755150426545,0.4988523423203652,1.111434271430343,0.9735090221918344,1.7561259956498454,4000,geometric,posteriors_48/K00277_K00277_01_eomega_posterior.npz,2,7.414596976967687,0.02082783375990158,0.3788963031510242,7.461,501.6,0.017,0.020452,0.9937805893268579,433.798659130096,0.8648298626995533,1.0183763817671414,<0.5,<0.5
K00392,3942670,K00392.02,12.6119685,0,12.61007798,0.0001498988837468,thick,multi,0.1105296797432577,0.3215363427562182,0.6057041259509162,0.9031187651723136,0.7338279064482329,1.4028587752456323,4000,geometric,posteriors_48/K00392_K00392_02_eomega_posterior.npz,2,4.474253480046289,0.009072249507980917,0.6107693048348642,6.372,76.5,0.709,0.008559,0.7021741180235859,82.30571113506,1.0758916488243135,1.0599660600515148,0.5-0.8,0.5-0.8
K00392,3942670,K00392.01,33.4160553,1,33.41230901999995,0.0001121101807622,thick,multi,0.062149012085616,0.1982841290126292,0.5246016175395014,1.023772873229753,0.8953509162676044,1.654569499457268,4000,geometric,posteriors_48/K00392_K00392_01_eomega_posterior.npz,2,7.45529160263562,0.015645911052837358,0.5304519420155115,8.605,275.8,0.947,0.019214,0.8663906569012922,244.79453267329822,0.8875798864151494,0.8142974421170688,>0.9,0.5-0.8
K00513,6937692,K00513.01,35.18105723,0,35.18230791999997,3.555009708190878e-05,thick,single,0.1070300983748981,0.269758133606752,0.5737826652198412,0.9258850016063788,0.8083421923444912,1.493976179261208,4000,geometric,posteriors_48/K00513_K00513_01_eomega_posterior.npz,1,7.384769228467247,0.029376814001086566,0.4598839416442572,7.545,987.7,0.772,0.031415,0.9787633172256126,862.9972008544357,0.8737442551933134,0.935120611207594,0.5-0.8,<0.5
K00525,9119458,K00525.01,11.53029332,0,11.52998455250006,2.6778807040754212e-05,thick,single,0.3271770778510421,0.6088444117836312,0.7701813497745275,0.5539820007133982,0.4864586044729344,0.8778341280048706,4000,geometric,posteriors_48/K00525_K00525_01_eomega_posterior.npz,1,1.9086851851482507,0.032221210161204064,0.45683545511337886,1.8385,1209.3,0.027,0.031664,1.0381752434855864,1038.20638425248,0.8585184687442983,1.0175975922563185,<0.5,<0.5
K00583,9076513,K00583.01,2.437029217,0,2.434957675000078,0.0008500275603885,thick,single,0.0648098464269888,0.2047635679027364,0.5280581842581153,1.013935963611454,0.8881770399518341,1.6126085082154378,4000,geometric,posteriors_48/K00583_K00583_01_eomega_posterior.npz,1,3.261859081950468,0.014705959878882765,0.5293734234647319,3.2005,244.0,0.014,0.014084,1.0191717175286574,216.26525595930957,0.8863330162266786,1.044160741187359,<0.5,0.5-0.8
K00631,4742414,K00631.01,15.458056682,0,15.458050819999984,3.792197258966039e-07,thick,single,0.0377804351347898,0.1749461090061987,0.5159503352484693,1.161844111522481,1.0159104652309043,1.8279951019076104,4000,geometric,posteriors_48/K00631_K00631_01_eomega_posterior.npz,1,8.83489578193203,0.06073318808865628,0.3970966390851362,8.79536,4253.2,0.05,0.059289,1.0044950726214765,3688.5201354121004,0.8672341144108202,1.0243584490994329,<0.5,<0.5
K00660,6267535,K00660.01,6.07972016,0,6.080102200000056,6.283841854586554e-05,thick,single,0.0338522690764182,0.1645736684893111,0.5070429953677749,1.1489085634158551,1.0009966938241046,1.847778030646818,4000,geometric,posteriors_48/K00660_K00660_01_eomega_posterior.npz,1,7.171044033348007,0.015865538966992256,0.44989474460050805,7.1228,290.8,0.471,0.015794,1.0067731837687437,251.71532671314972,0.8655960340892356,1.0045295027853778,<0.5,<0.5
K00662,6365156,K00662.01,10.21418792,0,10.21438888500009,1.9675083488187525e-05,thick,single,0.0352330160664844,0.1623483544719385,0.5019456662272178,1.128103761200855,0.9928996198212798,1.746475910989907,4000,geometric,posteriors_48/K00662_K00662_01_eomega_posterior.npz,1,5.849043961265757,0.015983897231362537,0.37564171534126944,5.8201,303.8,0.016,0.015775,1.004973103772402,255.484970702759,0.8409643538602996,1.0132422967583223,<0.5,<0.5
