koi_target,kepid,kepoi_name,koi_period,alderaan_planet_index,alderaan_period_days,period_relative_difference,disk,system,e16,e50,e84,zeta_median,zeta_p16,zeta_p84,n_zeta,impact_mode,posterior_file
K00064,7051180,K00064.01,1.951082219,0,1.9510541800000283,1.4370998668618138e-05,thick,single,0.5298242050186132,0.7916436928756146,0.8716561491386711,0.3681344943126419,0.3204464904427525,0.5886929445932658,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K00064_K00064_01_eomega_posterior.npz
K00179,9663113,K00179.01,20.74028645,0,20.740123635000003,7.85018087326998e-06,thick,multi,0.06865572984565171,0.22427419622054923,0.5573896687799047,1.2038940117185248,1.0596698114139982,1.8878570704991262,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K00179_K00179_01_eomega_posterior.npz
K00204,9305831,K00204.01,3.246732048,0,3.2467146499998307,5.358619039763097e-06,thick,single,0.11747586729575617,0.2848707344154647,0.5833641593429145,0.9021523967360491,0.7902308746879765,1.4295832201683667,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K00204_K00204_01_eomega_posterior.npz
K00277,11401755,K00277.02,13.84984567,0,13.847114340000076,0.00019721013973760624,thick,multi,0.03623913516094657,0.16303626350180112,0.5019319158281805,1.1249069134698786,0.9849152732969976,1.836190341765734,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K00277_K00277_02_eomega_posterior.npz
K00277,11401755,K00277.01,16.23191704,1,16.235983169999997,0.0002505021427831438,thick,multi,0.03591819604146435,0.16017551504265454,0.4988523423203652,1.1114342714303427,0.9735090221918343,1.7561259956498454,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K00277_K00277_01_eomega_posterior.npz
K00392,3942670,K00392.02,12.6119685,0,12.61007798,0.0001498988837468073,thick,multi,0.11052967974325775,0.32153634275621823,0.6057041259509162,0.9031187651723137,0.7338279064482329,1.4028587752456323,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K00392_K00392_02_eomega_posterior.npz
K00392,3942670,K00392.01,33.4160553,1,33.41230901999995,0.00011211018076224176,thick,multi,0.06214901208561603,0.19828412901262926,0.5246016175395014,1.023772873229753,0.8953509162676044,1.654569499457268,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K00392_K00392_01_eomega_posterior.npz
K00513,6937692,K00513.01,35.18105723,0,35.18230791999997,3.555009708190878e-05,thick,single,0.10703009837489812,0.26975813360675205,0.5737826652198412,0.9258850016063789,0.8083421923444912,1.493976179261208,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K00513_K00513_01_eomega_posterior.npz
K00525,9119458,K00525.01,11.53029332,0,11.52998455250006,2.6778807040754215e-05,thick,single,0.32717707785104216,0.6088444117836312,0.7701813497745275,0.5539820007133982,0.48645860447293443,0.8778341280048706,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K00525_K00525_01_eomega_posterior.npz
K00583,9076513,K00583.01,2.437029217,0,2.434957675000078,0.0008500275603885838,thick,single,0.06480984642698882,0.20476356790273645,0.5280581842581153,1.013935963611454,0.8881770399518341,1.6126085082154378,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K00583_K00583_01_eomega_posterior.npz
K00631,4742414,K00631.01,15.458056682,0,15.458050819999983,3.7921972589660384e-07,thick,single,0.0377804351347898,0.17494610900619878,0.5159503352484693,1.161844111522481,1.0159104652309043,1.8279951019076104,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K00631_K00631_01_eomega_posterior.npz
K00660,6267535,K00660.01,6.07972016,0,6.080102200000056,6.283841854586554e-05,thick,single,0.033852269076418265,0.16457366848931118,0.5070429953677749,1.1489085634158551,1.0009966938241046,1.8477780306468181,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K00660_K00660_01_eomega_posterior.npz
K00662,6365156,K00662.01,10.21418792,0,10.21438888500009,1.9675083488187525e-05,thick,single,0.03523301606648441,0.16234835447193857,0.5019456662272178,1.128103761200855,0.9928996198212798,1.746475910989907,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K00662_K00662_01_eomega_posterior.npz
