Model,Population,N,e_mean,e_hi,e_lo
Rayleigh,thick singles,100,0.1358,0.0361,0.0264
Beta,thick singles,100,0.076,0.0495,0.0467
Monotonic Beta,thick singles,100,0.0673,0.0552,0.042
Half-Gaussian,thick singles,100,0.1471,0.0622,0.0473
Rayleigh,thick multis,70,0.0472,0.0183,0.0128
Beta,thick multis,70,0.0059,0.0031,0.0017
Monotonic Beta,thick multis,70,0.006,0.0032,0.0017
Half-Gaussian,thick multis,70,0.0289,0.0201,0.0111
Rayleigh,thin singles,875,0.2134,0.0135,0.0143
Beta,thin singles,875,0.1202,0.0102,0.0098
Monotonic Beta,thin singles,875,0.1201,0.0099,0.0098
Half-Gaussian,thin singles,875,0.2207,0.0177,0.0164
Rayleigh,thin multis,671,0.0651,0.0061,0.0054
Beta,thin multis,671,0.0049,0.0007,0.0006
Monotonic Beta,thin multis,671,0.0049,0.0006,0.0005
Half-Gaussian,thin multis,671,0.0408,0.0064,0.0063
