velocity,scope,flag_policy,component_prior_high,thin_singles,thick_singles,thin_multis,thick_multis,l1_planet_count_delta
old_astropy,all_kepler,finite,0.46,1164,342,921,215,177
old_astropy,all_kepler,finite,0.465,1147,359,908,228,177
old_astropy,all_kepler,finite,0.47,1129,377,885,251,177
direct,all_kepler,finite,0.45,1140,366,906,230,177
direct,all_kepler,finite,0.445,1156,350,925,211,177
direct,all_kepler,finite,0.455,1117,389,890,246,185
old_astropy,all_kepler,finite,0.455,1188,318,935,201,189
direct,all_kepler,finite,0.44,1177,329,937,199,193
old_astropy,all_kepler,finite,0.475,1110,396,868,268,199
direct,all_kepler,finite,0.435,1188,318,942,194,203
old_astropy,all_kepler,finite,0.45,1204,302,942,194,203
direct,all_kepler,finite,0.43,1199,307,951,185,221
old_astropy,all_kepler,finite,0.445,1220,286,955,181,229
direct,all_kepler,finite,0.46,1095,411,875,261,229
direct,all_kepler,finite,0.425,1218,288,959,177,237
old_astropy,all_kepler,finite,0.48,1086,420,857,279,257
old_astropy,all_kepler,finite,0.44,1239,267,965,171,265
direct,all_kepler,finite,0.42,1236,270,972,164,273
direct,all_kepler,finite,0.465,1072,434,855,281,289
old_astropy,all_kepler,finite,0.435,1250,256,977,159,311
old_astropy,all_kepler,finite,0.485,1063,443,845,291,327
direct,planet_hosts,finite,0.5,1253,253,988,148,339
direct,all_kepler,finite,0.415,1251,255,990,146,339
direct,all_kepler,finite,0.47,1050,456,848,288,347
direct,planet_hosts,finite,0.495,1258,248,988,148,349
direct,planet_hosts,finite,0.49,1264,242,990,146,365
old_astropy,planet_hosts,finite,0.5,1275,231,981,155,369
old_astropy,all_kepler,finite,0.43,1260,246,999,137,375
direct,all_kepler,finite,0.41,1264,242,998,138,381
old_astropy,planet_hosts,finite,0.495,1282,224,983,153,387
old_astropy,all_kepler,finite,0.49,1046,460,831,305,389
old_astropy,planet_hosts,finite,0.49,1284,222,983,153,391
direct,planet_hosts,finite,0.485,1274,232,996,140,397
old_astropy,planet_hosts,finite,0.485,1286,220,985,151,399
old_astropy,all_kepler,finite,0.425,1269,237,1003,133,401
direct,all_kepler,finite,0.475,1032,474,839,297,401
direct,all_kepler,finite,0.405,1274,232,1008,128,421
direct,planet_hosts,finite,0.48,1281,225,1002,134,423
