stage,disk,system,n_planets
recovered_all,thick,multi,209
recovered_all,thick,single,269
recovered_all,thin,multi,878
recovered_all,thin,single,1109
cumulative_through_qc_unavailable,thick,multi,209
cumulative_through_qc_unavailable,thick,single,269
cumulative_through_qc_unavailable,thin,multi,878
cumulative_through_qc_unavailable,thin,single,1109
cumulative_through_grazing,thick,multi,193
cumulative_through_grazing,thick,single,219
cumulative_through_grazing,thin,multi,823
cumulative_through_grazing,thin,single,890
cumulative_through_radius_precision,thick,multi,193
cumulative_through_radius_precision,thick,single,218
cumulative_through_radius_precision,thin,multi,823
cumulative_through_radius_precision,thin,single,889
cumulative_through_density_asymmetry,thick,multi,188
cumulative_through_density_asymmetry,thick,single,212
cumulative_through_density_asymmetry,thin,multi,805
cumulative_through_density_asymmetry,thin,single,868
cumulative_through_importance_viability,thick,multi,187
cumulative_through_importance_viability,thick,single,212
cumulative_through_importance_viability,thin,multi,801
cumulative_through_importance_viability,thin,single,864
