stage,population,model,n_planets,estimate,lower,upper
recovered_all,all,rayleigh,2465,0.213779965953242,0.209477304647997,0.2181894251660706
recovered_all,all,beta_map,2465,0.14305761918182272,,
recovered_all,thick_singles,rayleigh,269,0.23407205501632583,0.22004767033529524,0.24899953233861177
recovered_all,thick_singles,beta_map,269,0.15025235307089185,,
recovered_all,thin_singles,rayleigh,1109,0.24599718786463912,0.2391291339892015,0.2531049633031283
recovered_all,thin_singles,beta_map,1109,0.1767655787939833,,
recovered_all,thick_multis,rayleigh,209,0.14081018270428372,0.12896462474290596,0.15415048147478605
recovered_all,thick_multis,beta_map,209,0.08872764842670379,,
recovered_all,thin_multis,rayleigh,878,0.17128922663143184,0.1651709856332555,0.17769066322553215
recovered_all,thin_multis,beta_map,878,0.10876627372043998,,
cumulative_through_qc_unavailable,all,rayleigh,2465,0.213779965953242,0.209477304647997,0.2181894251660706
cumulative_through_qc_unavailable,all,beta_map,2465,0.14305761918182272,,
cumulative_through_qc_unavailable,thick_singles,rayleigh,269,0.23407205501632583,0.22004767033529524,0.24899953233861177
cumulative_through_qc_unavailable,thick_singles,beta_map,269,0.15025235307089185,,
cumulative_through_qc_unavailable,thin_singles,rayleigh,1109,0.24599718786463912,0.2391291339892015,0.2531049633031283
cumulative_through_qc_unavailable,thin_singles,beta_map,1109,0.1767655787939833,,
cumulative_through_qc_unavailable,thick_multis,rayleigh,209,0.14081018270428372,0.12896462474290596,0.15415048147478605
cumulative_through_qc_unavailable,thick_multis,beta_map,209,0.08872764842670379,,
cumulative_through_qc_unavailable,thin_multis,rayleigh,878,0.17128922663143184,0.1651709856332555,0.17769066322553215
cumulative_through_qc_unavailable,thin_multis,beta_map,878,0.10876627372043998,,
cumulative_through_grazing,all,rayleigh,2125,0.17944828742481678,0.17516752194442553,0.18384662493537346
cumulative_through_grazing,all,beta_map,2125,0.11731067490532572,,
cumulative_through_grazing,thick_singles,rayleigh,219,0.15508898404041765,0.1414657937140496,0.17022652227084437
cumulative_through_grazing,thick_singles,beta_map,219,0.1029744267396378,,
cumulative_through_grazing,thin_singles,rayleigh,890,0.21933288763651193,0.2121471128034558,0.22678907555078034
cumulative_through_grazing,thin_singles,beta_map,890,0.152271501487207,,
cumulative_through_grazing,thick_multis,rayleigh,193,0.1385658767624933,0.12656717563084735,0.1521214859045829
cumulative_through_grazing,thick_multis,beta_map,193,0.0832637218138703,,
cumulative_through_grazing,thin_multis,rayleigh,823,0.13874028203187896,0.1332027934308783,0.14457918826646357
cumulative_through_grazing,thin_multis,beta_map,823,0.08729503143365051,,
cumulative_through_radius_precision,all,rayleigh,2123,0.17949667886384044,0.17521293267225196,0.18389902836059202
cumulative_through_radius_precision,all,beta_map,2123,0.11732042067087074,,
cumulative_through_radius_precision,thick_singles,rayleigh,218,0.15536467937106796,0.1417265684764412,0.17051012363750173
cumulative_through_radius_precision,thick_singles,beta_map,218,0.10302040911870308,,
cumulative_through_radius_precision,thin_singles,rayleigh,889,0.21941975108393733,0.21222813518147038,0.2268795381285916
cumulative_through_radius_precision,thin_singles,beta_map,889,0.15229491767563785,,
cumulative_through_radius_precision,thick_multis,rayleigh,193,0.1385658767624933,0.12656717563084735,0.1521214859045829
cumulative_through_radius_precision,thick_multis,beta_map,193,0.0832637218138703,,
cumulative_through_radius_precision,thin_multis,rayleigh,823,0.13874028203187896,0.1332027934308783,0.14457918826646357
cumulative_through_radius_precision,thin_multis,beta_map,823,0.08729503143365051,,
cumulative_through_density_asymmetry,all,rayleigh,2073,0.18025275820682643,0.1759122968584411,0.18471803912796825
cumulative_through_density_asymmetry,all,beta_map,2073,0.11791528944552791,,
cumulative_through_density_asymmetry,thick_singles,rayleigh,212,0.15688190413520556,0.14290432289478397,0.17242123102407225
cumulative_through_density_asymmetry,thick_singles,beta_map,212,0.10568752345059679,,
cumulative_through_density_asymmetry,thin_singles,rayleigh,868,0.22042773829164308,0.2131658313022404,0.2279647935523811
cumulative_through_density_asymmetry,thin_singles,beta_map,868,0.1528584638410057,,
cumulative_through_density_asymmetry,thick_multis,rayleigh,188,0.1398886383413579,0.12761644070900455,0.15377685675829222
cumulative_through_density_asymmetry,thick_multis,beta_map,188,0.08481214853132824,,
cumulative_through_density_asymmetry,thin_multis,rayleigh,805,0.13821788199990998,0.13263990071474416,0.14410171853104023
cumulative_through_density_asymmetry,thin_multis,beta_map,805,0.08666819193233384,,
cumulative_through_importance_viability,all,rayleigh,2064,0.1654383109779715,0.1612217564982499,0.1697929614876478
cumulative_through_importance_viability,all,beta_map,2064,0.1095468583771968,,
cumulative_through_importance_viability,thick_singles,rayleigh,212,0.15688190413520556,0.14290432289478397,0.17242123102407225
cumulative_through_importance_viability,thick_singles,beta_map,212,0.10568752345059679,,
cumulative_through_importance_viability,thin_singles,rayleigh,864,0.20892841942378138,0.20169447940842408,0.21643401724529404
cumulative_through_importance_viability,thin_singles,beta_map,864,0.14563955931451542,,
cumulative_through_importance_viability,thick_multis,rayleigh,187,0.08893345461145097,0.07894331739450244,0.10053732108380417
cumulative_through_importance_viability,thick_multis,beta_map,187,0.059459277352556295,,
cumulative_through_importance_viability,thin_multis,rayleigh,801,0.11933650391380704,0.11412359090996232,0.12484569118043778
cumulative_through_importance_viability,thin_multis,beta_map,801,0.07582435536510926,,
