group,n_planets,sigma_rayleigh,sigma_rayleigh_lo,sigma_rayleigh_hi,sigma_map,expected_e,expected_e_lo,expected_e_hi,expected_e_map,expected_e_model,expected_e_model_lo,expected_e_model_hi,expected_e_model_map,expected_e_truncated,expected_e_truncated_lo,expected_e_truncated_hi,expected_e_truncated_map,ll_max,transit_selection_applied,selection_mode,outlier_floor,sigma_at_grid_lower_edge,sigma_at_grid_upper_edge,sigma_near_grid_lower_edge,sigma_near_grid_upper_edge,sigma_map_index,boundary_flag,posterior_mass_at_lower_edge,posterior_mass_at_upper_edge,posterior_mass_in_lower_1pct,posterior_mass_in_upper_1pct
all_small,1164,0.055577831398852744,0.05216726945781333,0.05920266326310168,0.05562221110555278,0.06965648181351944,0.06538197631662454,0.07419953483437433,0.0697121035273365,0.06967546084750711,0.06540219736367447,0.07421735095796245,0.0697310672797968,0.06967546084750711,0.06540219736367447,0.07421735095796245,0.0697310672797968,604.0280356781944,True,manuscript_reciprocal,0.0,False,False,False,False,111,False,0.0,0.0,0.0,0.0
all_small,1164,0.058605976191482174,0.054826898961498186,0.06264891983516466,0.05862341170585293,0.07345169849196022,0.06871532757361419,0.07851877691695733,0.07347355066861246,0.07346969602324988,0.06873456704424592,0.07853561218997801,0.073491542798427,0.07346969602324988,0.06873456704424592,0.07853561218997801,0.073491542798427,609.6658923567421,False,none,0.0,False,False,False,False,117,False,0.0,0.0,0.0,0.0
all_small,1164,0.05938292167090296,0.055524637379475675,0.06351735361655139,0.059123611805902955,0.07442545524524166,0.06958981299701351,0.07960719725249166,0.07410045852549178,0.07444321739342115,0.06960881034761308,0.07962380232000854,0.07411829831973557,0.07444321739342115,0.06960881034761308,0.07962380232000854,0.07411829831973557,610.9777900274686,True,legacy_forward_norm,0.0,False,False,False,False,118,False,0.0,0.0,0.0,0.0
observed_singles,561,0.07783558388474089,0.07140714117783449,0.08475991077671917,0.07763101550775388,0.09755243766895226,0.08949557954346377,0.10623079445406255,0.09729604923002676,0.09756598663568074,0.08951034890808632,0.1062432360834049,0.09730963378047457,0.09756598663568074,0.08951034890808632,0.1062432360834049,0.09730963378047457,238.63504992520032,True,manuscript_reciprocal,0.0,False,False,False,False,155,False,0.0,1.0217406112045999e-214,0.0,3.377734404171723e-213
observed_singles,561,0.08862086401926135,0.08071957549008496,0.09710212713639106,0.08813521760880441,0.11106978173645478,0.10116698511982922,0.12169946870344599,0.11046111422449258,0.1110816810629239,0.10118004973984487,0.12171032839707291,0.11047307913096613,0.1110816810629239,0.10118004973984487,0.12171032839707291,0.11047307913096613,246.37156483834787,False,none,0.0,False,False,False,False,176,False,0.0,1.839659713160224e-165,0.0,5.4624496000672976e-164
observed_singles,561,0.09347947176133733,0.08522243288957361,0.10221632700440993,0.09313721860930466,0.11715914350726916,0.10681047995692405,0.1281091676990911,0.11673019279328581,0.1171704242286608,0.10682285401829089,0.1281194839177292,0.11674151491077352,0.1171704242286608,0.10682285401829089,0.1281194839177292,0.11674151491077352,250.14363029058055,True,legacy_forward_norm,0.0,False,False,False,False,186,False,0.0,3.5354179839733585e-304,0.0,1.5150784157974348e-302
observed_multis,603,0.03112685274475056,0.02723303923102826,0.03544829378559349,0.03111240620310155,0.039011724595133655,0.03413155307031535,0.044427847745197514,0.03899361854024964,0.03904564455670101,0.03417034163007135,0.044457624207472304,0.03902755405208521,0.03904564455670101,0.03417034163007135,0.044457624207472304,0.03902755405208521,384.7010360194439,True,manuscript_reciprocal,0.0,False,False,False,False,62,False,0.0,3.2264048684451482e-289,2.7676668551757895e-26,1.1231215845477393e-287
observed_multis,603,0.0319228729892958,0.027853105095506696,0.03643523680155066,0.03161260630315158,0.040009388021211546,0.03490869038433293,0.04566479737982144,0.039620526397128965,0.04004246159153944,0.034946613113028054,0.045693765584023,0.03965392349320338,0.04004246159153944,0.034946613113028054,0.045693765584023,0.03965392349320338,385.3277446981747,False,none,0.0,False,False,False,False,63,False,0.0,2.8918256845576006e-244,1.539734182249764e-26,8.979969956971797e-243
observed_multis,603,0.03190933184378398,0.02784112334227134,0.03641199938256694,0.03161260630315158,0.039992416712106134,0.03489367348361323,0.0456356735940944,0.039620526397128965,0.040025504402252256,0.03493161257307855,0.045664660383336254,0.03965392349320338,0.040025504402252256,0.03493161257307855,0.045664660383336254,0.03965392349320338,385.3062302377188,True,legacy_forward_norm,0.0,False,False,False,False,63,False,0.0,0.0,1.6147525980216625e-26,0.0
thick_singles,101,0.05818901651214485,0.04465999474567226,0.07413693769224984,0.05612241120560281,0.07292911703115622,0.055973002787187004,0.09291687210697509,0.07033901138421585,0.07294724373542488,0.055996627267376975,0.0929310972139251,0.07035780597396306,0.07294724373542488,0.055996627267376975,0.0929310972139251,0.07035780597396306,46.61037614641901,True,manuscript_reciprocal,0.0,False,False,False,False,112,False,0.0,5.251339485281563e-42,0.00014652052225927337,1.1394383925835054e-40
thick_singles,101,0.06336282333007133,0.04791669867787087,0.08209398919031699,0.06012401200600301,0.07941352225980279,0.060054675866462494,0.10288955724085014,0.07535427423925044,0.07943016793427082,0.06007669310249807,0.10290240300894053,0.07537181697508046,0.07943016793427082,0.06007669310249807,0.10290240300894053,0.07537181697508046,46.91719920807,False,none,0.0,False,False,False,False,120,False,0.0,1.0830264761144597e-32,9.158136483830993e-05,2.3077281278538347e-31
thick_singles,101,0.06472264479857345,0.04860487509200298,0.08425277490716414,0.061624612306153084,0.08111780573050165,0.06091717709526136,0.10559519389920943,0.0772349978098884,0.08113410135031997,0.060938881733223746,0.10560771044362628,0.07725211306168911,0.08113410135031997,0.060938881733223746,0.10560771044362628,0.07725211306168911,46.84170921226402,True,legacy_forward_norm,0.0,False,False,False,False,123,False,0.0,4.1803147482135593e-57,9.181070923856889e-05,9.422915490706036e-56
