group,n_planets,model,selection_mode,status,nll,mean_e,alpha,beta,sigma
all_small,1164,beta,manuscript_reciprocal,ok,-625.1363132209251,0.048686841736825824,0.9933442827350392,19.304988303702956,
all_small,1164,monotonic_beta,manuscript_reciprocal,ok,-625.1363132212496,0.04868694181747964,0.9933447705401489,19.30496352302681,
all_small,1164,half_gaussian,manuscript_reciprocal,ok,-616.6325619246774,0.058721521258519455,,,0.0736079425775414
observed_singles,561,beta,manuscript_reciprocal,ok,-249.26334073891456,0.06838189519348996,0.9585977829245462,12.632205950761117,
observed_singles,561,monotonic_beta,manuscript_reciprocal,ok,-249.26334073891582,0.0683818563077911,0.9585977486727366,12.632212459201309,
observed_singles,561,half_gaussian,manuscript_reciprocal,ok,-245.44351740610404,0.08337830233299724,,,0.1045072550841332
observed_multis,603,beta,manuscript_reciprocal,ok,-385.1968465486054,0.03623736090521352,2.3811514892916175,63.373980086702176,
observed_multis,603,monotonic_beta,manuscript_reciprocal,ok,-383.12001359280777,0.03251340069480151,0.99999999,29.710913635130463,
observed_multis,603,half_gaussian,manuscript_reciprocal,ok,-384.529633158309,0.034539759494387666,,,0.043308598586922285
thick_singles,101,beta,manuscript_reciprocal,ok,-46.78668127756515,0.07298809614302353,9.659683255222843,122.68632610382942,
thick_singles,101,monotonic_beta,manuscript_reciprocal,ok,-46.12637350210541,0.05864537683797182,0.99999999,16.04425912741142,
thick_singles,101,half_gaussian,manuscript_reciprocal,ok,-46.44316227323223,0.06300895298693741,,,0.0789806637227055
thin_singles,451,beta,manuscript_reciprocal,ok,-197.48386879630408,0.07146893063247904,0.9556487146274438,11.982313631023617,
thin_singles,451,monotonic_beta,manuscript_reciprocal,ok,-197.4838687963077,0.07146893899288743,0.9556488313272723,11.98231538861856,
thin_singles,451,half_gaussian,manuscript_reciprocal,ok,-193.86653689466982,0.08804582647776878,,,0.11035670235381691
thick_multis,123,beta,manuscript_reciprocal,ok,-74.64074207616606,0.03782661587485195,13.040349103619818,331.69969174875564,
thick_multis,123,monotonic_beta,manuscript_reciprocal,ok,-73.36517718623718,0.034034070520628214,0.958008624032545,25.501208901260146,
thick_multis,123,half_gaussian,manuscript_reciprocal,ok,-73.77319812660699,0.03614130149783862,,,0.045314973114478935
thin_multis,489,beta,manuscript_reciprocal,ok,-317.12453473162554,0.03487781227400238,2.0338548152183504,56.4183993111276,
thin_multis,489,monotonic_beta,manuscript_reciprocal,ok,-315.908736301157,0.03160487846334351,0.99999999,30.590918537072138,
thin_multis,489,half_gaussian,manuscript_reciprocal,ok,-316.75950740947883,0.03413579520120264,,,0.042802534275288254
