stage,model,n_planets,estimate,lower,upper
matched_gilbert_catalog,rayleigh,2338,0.2011063393449855,0.19682107523071435,0.2055027988451568
matched_gilbert_catalog,beta_map,2338,0.13217303924728427,,
cumulative_through_planet_radius_0p5_3p5,rayleigh,2091,0.16607199586635177,0.16175348915904816,0.1705233221429746
cumulative_through_planet_radius_0p5_3p5,beta_map,2091,0.10487681091978594,,
cumulative_through_fpp_or_confirmed,rayleigh,1807,0.1432583655639546,0.13899553163810313,0.14766748669451418
cumulative_through_fpp_or_confirmed,beta_map,1807,0.0873502126731206,,
cumulative_through_logg_gt_4,rayleigh,1711,0.13702536287289097,0.1327319516238468,0.1414737547723976
cumulative_through_logg_gt_4,beta_map,1711,0.08294110928943499,,
cumulative_through_furlan_lt_5pct_or_missing,rayleigh,1711,0.13702536287289097,0.1327319516238468,0.1414737547723976
cumulative_through_furlan_lt_5pct_or_missing,beta_map,1711,0.08294110928943499,,
cumulative_through_ruwe_lt_1p4,rayleigh,1710,0.13701360441745736,0.13271888092046152,0.14146341890693329
cumulative_through_ruwe_lt_1p4,beta_map,1710,0.08289746711219029,,
cumulative_through_stellar_radius_precision_lt_20pct,rayleigh,1710,0.13701360441745736,0.13271888092046152,0.14146341890693329
cumulative_through_stellar_radius_precision_lt_20pct,beta_map,1710,0.08289746711219029,,
cumulative_through_stellar_radius_0p7_1p4,rayleigh,1312,0.11624525835063171,0.11162712641377763,0.12107462428276793
cumulative_through_stellar_radius_0p7_1p4,beta_map,1312,0.06968689233796156,,
cumulative_through_teff_4700_6500,rayleigh,1272,0.1166329095174203,0.11191112341866354,0.12157672570523609
cumulative_through_teff_4700_6500,beta_map,1272,0.06947526651280057,,
cumulative_through_feh_m0p6_p0p6,rayleigh,1271,0.11669570498460646,0.11196751166754842,0.12164301257189156
cumulative_through_feh_m0p6_p0p6,beta_map,1271,0.0695394745360289,,
cumulative_through_age_0_14,rayleigh,1261,0.11677136218706557,0.11203738736332007,0.12172064067852258
cumulative_through_age_0_14,beta_map,1261,0.06950569271998892,,
