branch,population,model,bic,delta_bic
dynesty_weighted,thick_singles,rayleigh,-79.51868941575499,30.928153282866987
dynesty_weighted,thin_singles,rayleigh,-252.72098991999437,121.00178166627134
dynesty_weighted,thick_multis,rayleigh,-135.81134210527236,33.355612075219426
dynesty_weighted,thin_multis,rayleigh,-750.5705238371751,90.76773007850977
dynesty_weighted,thick_singles,beta,-110.44684269862181,1.7053025658242404e-13
dynesty_weighted,thick_singles,monotonic_beta,-110.44684269862198,0.0
dynesty_weighted,thick_singles,half_gaussian,-102.56294913221296,7.883893566409014
dynesty_weighted,thin_singles,beta,-373.7227715862657,0.0
dynesty_weighted,thin_singles,monotonic_beta,-373.7227715862642,1.5347723092418164e-12
dynesty_weighted,thin_singles,half_gaussian,-356.70909757050987,17.01367401575584
dynesty_weighted,thick_multis,beta,-169.16695418049062,1.1652900866465643e-12
dynesty_weighted,thick_multis,monotonic_beta,-169.16695418049179,0.0
dynesty_weighted,thick_multis,half_gaussian,-159.0455359315338,10.12141824895798
dynesty_weighted,thin_multis,beta,-841.3382539156848,0.0
dynesty_weighted,thin_multis,monotonic_beta,-841.3382539156822,2.6147972675971687e-12
dynesty_weighted,thin_multis,half_gaussian,-812.5489678628927,28.789286052792136
equal_nested_rows_diagnostic,thick_singles,rayleigh,-173.3154682535307,1.1321102584703056
equal_nested_rows_diagnostic,thin_singles,rayleigh,-671.6040061574581,7.196414636204281
equal_nested_rows_diagnostic,thick_multis,rayleigh,-221.3182644894574,0.5011081145177059
equal_nested_rows_diagnostic,thin_multis,rayleigh,-977.5609920237799,10.510552217054283
equal_nested_rows_diagnostic,thick_singles,beta,-168.58969386009989,5.8578846519011165
equal_nested_rows_diagnostic,thick_singles,monotonic_beta,-168.54574920088842,5.901829311112579
equal_nested_rows_diagnostic,thick_singles,half_gaussian,-174.447578512001,0.0
equal_nested_rows_diagnostic,thin_singles,beta,-675.1297700471681,3.670650746494289
equal_nested_rows_diagnostic,thin_singles,monotonic_beta,-675.1297700471431,3.6706507465193
equal_nested_rows_diagnostic,thin_singles,half_gaussian,-678.8004207936624,0.0
equal_nested_rows_diagnostic,thick_multis,beta,-216.08379010285665,5.735582501118444
equal_nested_rows_diagnostic,thick_multis,monotonic_beta,-216.08379010279526,5.7355825011798345
equal_nested_rows_diagnostic,thick_multis,half_gaussian,-221.8193726039751,0.0
equal_nested_rows_diagnostic,thin_multis,beta,-983.1482203816687,4.923323859165521
equal_nested_rows_diagnostic,thin_multis,monotonic_beta,-983.1164792312402,4.955065009594023
equal_nested_rows_diagnostic,thin_multis,half_gaussian,-988.0715442408342,0.0
