branch,population,model,n_planets,local_value,local_lower,local_upper,published_value,absolute_difference,interval_contains_published
dynesty_weighted,thick_singles,rayleigh,268,0.2079475640921903,0.1937083609158424,0.2231224244094808,0.066,0.1419475640921903,False
dynesty_weighted,thin_singles,rayleigh,1103,0.2302937467155008,0.2235046785765853,0.2373205863216061,0.022,0.2082937467155008,False
dynesty_weighted,thick_multis,rayleigh,209,0.1408101827042837,0.1289646247429059,0.154150481474786,0.033,0.10781018270428369,False
dynesty_weighted,thin_multis,rayleigh,873,0.113525248093492,0.1082681481817562,0.1190990589665864,0.03,0.083525248093492,False
dynesty_weighted,thick_singles,beta,268,0.1346105138436677,,,0.058,0.07661051384366771,
dynesty_weighted,thick_singles,monotonic_beta,268,0.1346105165747846,,,0.041,0.09361051657478459,
dynesty_weighted,thick_singles,half_gaussian,268,0.2168455609823361,,,0.066,0.1508455609823361,
dynesty_weighted,thin_singles,beta,1103,0.1663118540721235,,,0.023,0.14331185407212352,
dynesty_weighted,thin_singles,monotonic_beta,1103,0.1663118535958865,,,0.022,0.1443118535958865,
dynesty_weighted,thin_singles,half_gaussian,1103,0.2404401774127398,,,0.025,0.2154401774127398,
dynesty_weighted,thick_multis,beta,209,0.0887276484267037,,,0.042,0.046727648426703704,
dynesty_weighted,thick_multis,monotonic_beta,209,0.0887276646145517,,,0.025,0.0637276646145517,
dynesty_weighted,thick_multis,half_gaussian,209,0.1474717678852456,,,0.037,0.1104717678852456,
dynesty_weighted,thin_multis,beta,873,0.0766472405836603,,,0.03,0.04664724058366031,
dynesty_weighted,thin_multis,monotonic_beta,873,0.0766472272099239,,,0.026,0.0506472272099239,
dynesty_weighted,thin_multis,half_gaussian,873,0.1200872693290656,,,0.033,0.0870872693290656,
equal_nested_rows_diagnostic,thick_singles,rayleigh,268,0.0630000013423112,0.0476657856188369,0.0774780487822373,0.066,0.00299999865768881,True
equal_nested_rows_diagnostic,thin_singles,rayleigh,1109,0.0746780104621592,0.0646861335359751,0.0852099045449511,0.022,0.052678010462159204,False
equal_nested_rows_diagnostic,thick_multis,rayleigh,209,0.0444442290058389,0.0356951399970467,0.0548115230038446,0.033,0.011444229005838899,False
equal_nested_rows_diagnostic,thin_multis,rayleigh,877,0.0332062745816308,0.0296240610659389,0.037644904159525,0.03,0.003206274581630801,True
equal_nested_rows_diagnostic,thick_singles,beta,268,0.0383208286272521,,,0.058,0.019679171372747904,
equal_nested_rows_diagnostic,thick_singles,monotonic_beta,268,0.0385415534699887,,,0.041,0.0024584465300113018,
equal_nested_rows_diagnostic,thick_singles,half_gaussian,268,0.0579951327604762,,,0.066,0.008004867239523802,
equal_nested_rows_diagnostic,thin_singles,beta,1109,0.0626685440078116,,,0.023,0.039668544007811606,
equal_nested_rows_diagnostic,thin_singles,monotonic_beta,1109,0.0626685602748448,,,0.022,0.0406685602748448,
equal_nested_rows_diagnostic,thin_singles,half_gaussian,1109,0.0874235724845405,,,0.025,0.062423572484540495,
equal_nested_rows_diagnostic,thick_multis,beta,209,0.0301848047980062,,,0.042,0.011815195201993804,
equal_nested_rows_diagnostic,thick_multis,monotonic_beta,209,0.0301848079340897,,,0.025,0.0051848079340896976,
equal_nested_rows_diagnostic,thick_multis,half_gaussian,209,0.0426332097653467,,,0.037,0.005633209765346703,
equal_nested_rows_diagnostic,thin_multis,beta,877,0.0256033140632953,,,0.03,0.004396685936704697,
equal_nested_rows_diagnostic,thin_multis,monotonic_beta,877,0.025644468750412,,,0.026,0.0003555312495879988,
equal_nested_rows_diagnostic,thin_multis,half_gaussian,877,0.0346556338458489,,,0.033,0.0016556338458489014,
