rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_target,system,disk_published,p_thick_published,has_measured_velocity,disk,P_thick,paper_category_target,pre_visual_category_count,category_excess_before_visual_qc,paper_membership_status,berger_mass,berger_teff,berger_logg,berger_feh,berger_rad,rho_log,rho_log_upper,rho_log_lower,berger_age,berger2018_teff,berger2018_rad,berger2018_evol,berger2018_bin,archive_result_target_available,cloud_result_target_available,any_result_target_available,preferred_result_source,posterior_file,posterior_source,transit_fit_source,impact_mode,qc_primary_exclude,qc_reasons,posterior_status
1535,2975770,K01788.01,Kepler-951 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.933,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,71.52543938,9.47e-05,-9.47e-05,191.69147,0.00104,-0.00104,2455024.691,0.00104,-0.00104,0.0,,,,,,0.066,0.293,-0.066,5.9189,0.0564,-0.0564,,,,5904.3,59.5,-59.5,0.06781,0.001527,-0.000556,3.52177,0.01693,-0.85507,LS+MCMC,5.76,0.22,-0.35,0.3091,,,89.96,,,340.0,,,3.15,0.46,-0.56,98.388,0.473,-0.473,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1054,0.6323,q1_q17_dr25_koi,57.922966,110.04745,111.3,2,8.0,1.0,q1_q17_dr25_tce,110011001100110000000000000000,0.9821,Mandel and Agol (2002 ApJ 580 171),,,002/002975/002975770/dv/kplr002975770-20160209194854_dvr.pdf,002/002975/002975770/dv/kplr002975770-001-20160209194854_dvs.pdf,4855.0,77.0,-87.0,4.542,0.056,-0.02,0.12,0.15,-0.15,0.778,0.029,-0.047,0.769,0.048,-0.028,,,,q1_q17_dr25_stellar,287.73755,38.114559,14.521,15.413,14.462,14.138,14.005,12.92,12.382,12.251,0.0,19.1824997,2.5e-06,38.114525,3.4e-05,-0.18,0.11,-0.12,0.12,0.0011,0.0011,0.0018,0.0014,-0.016,0.089,-0.04,0.11,0.05,0.11,0.028,0.086,0.1,0.15,0.11,0.15,K01788,multi,thick,1.0,True,thick,1.0,207,212,5,candidate_in_category_with_unpublished_final_rejections,0.701,4718.4,4.596,-0.137,0.697,0.314,-0.88,-0.933,,4850.0,0.689,0.0,0.0,False,False,False,missing,,,,,True,original_archive:ALDERAAN results file not found;cloud_missing:ALDERAAN results file not found,missing_after_uniform_assembly
1701,9022166,K02175.01,Kepler-368 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.989,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,26.8475962,0.0001572,-0.0001572,142.17023,0.00479,-0.00479,2454975.17,0.00479,-0.00479,0.0,,,,,,0.457,0.421,-0.256,10.068,0.119,-0.119,,,,254.1,7.1,-7.1,0.01474,8.5e-05,-0.000638,0.16528,0.07269,-0.00608,LS+MCMC,3.2,0.55,-0.82,0.1833,,,88.58,,,800.0,,,96.89,46.92,-47.08,18.47,8.1,-8.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2329,0.4554,q1_q17_dr25_koi,6.623207,23.146439,39.2,2,27.0,1.0,q1_q17_dr25_tce,10101010101010101000000000000000,0.6452,Mandel and Agol (2002 ApJ 580 171),,,009/009022/009022166/dv/kplr009022166-20160209194854_dvr.pdf,009/009022/009022166/dv/kplr009022166-001-20160209194854_dvs.pdf,5508.0,110.0,,3.897,0.195,-0.09,0.1,0.15,-0.15,1.988,0.34,-0.51,1.136,0.127,-0.175,,,,q1_q17_dr25_stellar,291.88004,45.387932,12.848,13.366,12.794,12.626,12.539,11.6,11.229,11.175,0.032,19.4586753,8.2e-06,45.387986,7.8e-05,0.2,0.31,0.2,0.28,-8.7e-05,7.9e-05,-8.9e-05,7.1e-05,-0.22,0.18,-0.58,0.25,0.63,0.28,-0.35,0.2,-0.73,0.29,0.81,0.27,K02175,multi,thick,0.8953,True,thick,0.8953,207,212,5,candidate_in_category_with_unpublished_final_rejections,1.22,5687.5,3.89,0.131,2.064,-0.868,-1.814,-1.939,5.09,5459.0,2.129,1.0,0.0,False,False,False,missing,,,,,True,original_archive:ALDERAAN results file not found;cloud_missing:ALDERAAN results file not found,missing_after_uniform_assembly
3702,9022166,K02175.02,Kepler-368 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.001,0,0,0,0,q1_q17_dr25_sup_koi,DEPTH_ODDEVEN_ALT,72.3826983,0.0006953,-0.0006953,179.49813,0.00787,-0.00787,2455012.498,0.00787,-0.00787,0.0,,,,,,0.791,0.126,-0.547,8.279,0.164,-0.164,,,,366.4,13.1,-13.1,0.019396,0.002706,-0.002065,0.28658,0.76814,-0.2035,LS+MCMC,4.21,0.72,-1.08,0.355,,,88.95,,,575.0,,,25.83,12.51,-12.55,43.0,19.2,-19.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2329,0.4554,q1_q17_dr25_koi,7.6299343,19.336872,29.5,2,9.0,2.0,q1_q17_dr25_tce,10101010101010101000000000000000,0.5036,Mandel and Agol (2002 ApJ 580 171),,,009/009022/009022166/dv/kplr009022166-20160209194854_dvr.pdf,009/009022/009022166/dv/kplr009022166-002-20160209194854_dvs.pdf,5508.0,110.0,0.0,3.897,0.195,-0.09,0.1,0.15,-0.15,1.988,0.34,-0.51,1.136,0.127,-0.175,,,,q1_q17_dr25_stellar,291.88004,45.387932,12.848,13.366,12.794,12.626,12.539,11.6,11.229,11.175,0.97,19.458664,1.2e-05,45.38789,0.00011,-0.23,0.44,-0.15,0.4,3e-05,0.00016,0.0,0.00014,-0.52,0.3,0.07,0.24,0.52,0.3,-0.65,0.28,-0.08,0.25,0.66,0.28,K02175,multi,thick,0.8953,True,thick,0.8953,207,212,5,candidate_in_category_with_unpublished_final_rejections,1.22,5687.5,3.89,0.131,2.064,-0.868,-1.814,-1.939,5.09,5459.0,2.129,1.0,0.0,False,False,False,missing,,,,,True,original_archive:ALDERAAN results file not found;cloud_missing:ALDERAAN results file not found,missing_after_uniform_assembly
3596,7277317,K00674.01,Kepler-643 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,16.33888067,1.882e-05,-1.882e-05,177.917586,0.000902,-0.000902,2455010.918,0.000902,-0.000902,0.0,,,,,,0.256,0.099,-0.256,9.3599,0.0485,-0.0485,,,,1718.4,9.7,-9.7,0.036942,0.000396,-0.000564,0.17114,0.01777,-0.02446,LS+MCMC,10.47,1.1,-0.8,0.1295,,,88.91,,,963.0,,,203.31,58.11,-37.26,13.42,1.4,-1.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1585,0.5703,q1_q17_dr25_koi,29.594252,151.49889,201.9,1,40.0,1.0,q1_q17_dr25_tce,1010101010101010000000000000000,0.2601,Mandel and Agol (2002 ApJ 580 171),,,007/007277/007277317/dv/kplr007277317-20160209194854_dvr.pdf,007/007277/007277317/dv/kplr007277317-001-20160209194854_dvs.pdf,4877.0,63.0,-53.0,3.645,0.06,-0.066,0.16,0.1,-0.1,2.595,0.273,-0.198,1.085,0.13,-0.095,,,,q1_q17_dr25_stellar,290.32733,42.898281,13.781,14.588,13.72,13.435,13.274,12.212,11.672,11.583,0.534,19.3551496,1.7e-06,42.898213,1.9e-05,-0.202,0.069,-0.241,0.067,8e-05,0.00013,-3e-05,0.00013,-0.022,0.092,-0.019,0.07,0.029,0.083,-0.34,0.082,-0.1,0.1,0.354,0.076,K00674,single,thick,0.8343,True,thick,0.8343,275,275,0,category_count_exact_before_visual_qc,1.14,4861.2,3.664,0.223,2.597,-1.191,-2.004,-1.97,7.02,4933.0,2.584,2.0,0.0,False,False,False,missing,,,,,True,original_archive:ALDERAAN results file not found;cloud_missing:ALDERAAN results file not found,missing_after_uniform_assembly
1430,10663396,K02046.01,Kepler-1069 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,23.8990075,0.0001281,-0.0001281,151.39847,0.00431,-0.00431,2454984.398,0.00431,-0.00431,0.0,,,,,,0.153,0.27,-0.153,15.955,0.121,-0.121,,,,293.4,5.5,-5.5,0.015456,0.000405,-0.000249,0.05041,0.00124,-0.01887,LS+MCMC,3.26,0.57,-0.86,0.1685,,,89.24,,,823.0,,,108.3,50.64,-52.76,11.503,0.283,-0.283,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2329,0.4554,q1_q17_dr25_koi,8.416729,33.028297,61.5,1,30.0,1.0,q1_q17_dr25_tce,11001100110011001000000000000000,0.1265,Mandel and Agol (2002 ApJ 580 171),,,010/010663/010663396/dv/kplr010663396-20160209194854_dvr.pdf,010/010663/010663396/dv/kplr010663396-001-20160209194854_dvs.pdf,5511.0,82.0,-74.0,3.914,0.21,-0.09,0.1,0.15,-0.1,1.93,0.34,-0.51,1.115,0.11,-0.152,,,,q1_q17_dr25_stellar,290.97934,47.988998,13.153,13.651,13.086,12.939,12.877,11.945,11.628,11.538,0.282,19.39861,7.7e-06,47.988973,6.6e-05,-0.43,0.28,-0.1,0.24,0.000104,8.2e-05,-1.9e-05,7.1e-05,0.13,0.14,-0.42,0.33,0.44,0.29,0.08,0.14,-0.61,0.4,0.61,0.39,K02046,single,thick,0.9929,True,thick,0.9929,275,275,0,category_count_exact_before_visual_qc,1.175,5743.8,4.118,0.265,1.565,-0.518,-1.553,-1.463,5.69,5579.0,1.597,1.0,0.0,False,False,False,missing,,,,,True,original_archive:ALDERAAN results file not found;cloud_missing:ALDERAAN results file not found,missing_after_uniform_assembly
4104,9897364,K04189.01,Kepler-1562 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.997,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,64.2729088,0.0009417,-0.0009417,186.7353,0.0103,-0.0103,2455019.735,0.0103,-0.0103,0.0,,,,,,0.908,0.009,-0.654,12.136,0.607,-0.607,,,,1213.9,50.7,-50.7,0.03795,0.004767,-0.005763,0.03848,0.35822,-0.02542,LS+MCMC,5.38,1.76,-0.94,0.3308,,,87.44,,,554.0,,,22.31,21.51,-9.34,20.33,10.0,-10.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3029,0.3239,q1_q17_dr25_koi,9.94133,19.254738,27.4,1,6.0,1.0,q1_q17_dr25_tce,1100010001000000000000000000,0.6058,Mandel and Agol (2002 ApJ 580 171),,,009/009897/009897364/dv/kplr009897364-20160209194854_dvr.pdf,009/009897/009897364/dv/kplr009897364-001-20160209194854_dvs.pdf,6341.0,177.0,-243.0,4.278,0.132,-0.198,-0.04,0.25,-0.3,1.299,0.424,-0.228,1.165,0.181,-0.164,,,,q1_q17_dr25_stellar,294.45569,46.743561,15.589,16.092,15.543,15.373,,14.169,13.903,13.849,0.638,19.630374,1.4e-05,46.7436,0.00016,-0.19,0.53,0.14,0.59,0.00025,0.00064,-0.0003,0.00072,0.293,0.094,0.42,0.16,0.51,0.14,0.23,0.11,0.42,0.13,0.48,0.15,K04189,single,thick,0.9964,False,thick,0.9964,275,275,0,category_count_exact_before_visual_qc,1.217,6153.8,4.14,-0.045,1.539,-0.491,-1.24,-1.311,3.43,6345.0,1.546,0.0,0.0,False,False,False,missing,,,,,True,original_archive:ALDERAAN results file not found;cloud_missing:ALDERAAN results file not found,missing_after_uniform_assembly
4577,8626325,K04775.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.625,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,16.4491515,0.0002729,-0.0002729,145.7441,0.0142,-0.0142,2454978.744,0.0142,-0.0142,0.0,,,,,,0.866,0.05,-0.586,6.696,0.445,-0.445,,,,70.9,7.5,-7.5,0.009018,0.001522,-0.001589,0.06489,0.43798,-0.04768,LS+MCMC,2.75,0.58,-1.08,0.1437,,,84.91,,,1036.0,,,272.9,196.21,-187.63,9.75,4.7,-4.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1952,0.5198,q1_q17_dr25_koi,2.8845534,7.8027735,11.0,1,43.0,1.0,q1_q17_dr25_tce,10101010101010101000000000000000,0.6764,Mandel and Agol (2002 ApJ 580 171),,,008/008626/008626325/dv/kplr008626325-20160209194854_dvr.pdf,008/008626/008626325/dv/kplr008626325-001-20160209194854_dvs.pdf,5334.0,214.0,-214.0,3.712,0.308,-0.132,0.32,0.15,-0.3,2.789,0.591,-1.097,1.464,0.175,-0.438,,,,q1_q17_dr25_stellar,292.40323,44.782009,12.999,13.66,12.897,12.715,12.577,11.564,11.143,11.07,0.584,19.493546,2.7e-05,44.78219,0.00029,-0.1,1.0,0.6,1.0,0.0,7.4e-05,-4.3e-05,7.5e-05,0.57,0.71,-0.75,0.85,0.94,0.8,0.48,0.72,-0.78,0.83,0.91,0.8,K04775,single,thick,0.9777,True,thick,0.9777,275,275,0,category_count_exact_before_visual_qc,1.196,5045.3,3.839,0.385,2.171,-0.939,-2.036,-1.994,6.51,5210.0,2.146,1.0,0.0,False,False,False,missing,,,,,True,original_archive:ALDERAAN results file not found;cloud_missing:ALDERAAN results file not found,missing_after_uniform_assembly
8587,12016243,K07506.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_FEW_MEAS,11.8436119,0.0003144,-0.0003144,138.0037,0.0211,-0.0211,2454971.004,0.0211,-0.0211,0.0,,,,,,0.067,0.393,-0.067,6.044,0.49,-0.49,,,,199.3,22.0,-22.0,0.012914,0.000882,-0.000832,0.46822,0.86821,-0.1892,LS+MCMC,1.41,0.47,-0.16,0.1043,,,89.75,,,830.0,,,111.98,111.89,-35.48,15.14,7.0,-7.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2868,0.3588,q1_q17_dr25_koi,3.707846,8.382526,10.4,1,61.0,1.0,q1_q17_dr25_tce,11001100110011001000000000000000,0.6375,Mandel and Agol (2002 ApJ 580 171),,,012/012016/012016243/dv/kplr012016243-20160209194854_dvr.pdf,012/012016/012016243/dv/kplr012016243-001-20160209194854_dvs.pdf,6077.0,181.0,-217.0,4.471,0.056,-0.224,-0.04,0.25,-0.3,0.999,0.333,-0.111,1.077,0.145,-0.145,,,,q1_q17_dr25_stellar,293.49564,50.48064,15.193,15.668,15.146,14.989,14.937,14.036,13.632,13.609,0.065,19.566318,3.8e-05,50.48026,0.00042,-2.0,1.3,-1.4,1.5,0.00037,0.00025,0.00026,0.00029,-0.72,0.35,-1.2,2.0,1.4,1.6,-0.77,0.32,-1.1,1.7,1.4,1.2,K07506,single,thick,0.7128,False,thick,0.7128,275,275,0,category_count_exact_before_visual_qc,1.068,5727.5,4.042,0.034,1.635,-0.612,-1.376,-1.504,7.64,6082.0,1.599,0.0,0.0,False,False,False,missing,,,,,True,original_archive:ALDERAAN results file not found;cloud_missing:ALDERAAN results file not found,missing_after_uniform_assembly
9388,11443757,K08054.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.995,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,43.9088053,0.0007351,-0.0007351,169.335,0.0155,-0.0155,2455002.335,0.0155,-0.0155,0.0,,,,,,0.272,0.18,-0.272,6.265,0.506,-0.506,,,,297.8,25.6,-25.6,0.01559,0.000898,-0.000788,1.41153,0.33109,-0.70947,LS+MCMC,7.33,1.87,-4.38,0.2911,,,89.7,,,885.0,,,144.75,115.28,-124.24,52.4,12.3,-12.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2129,0.4858,q1_q17_dr25_koi,3.1444068,7.258483,13.7,1,24.0,1.0,q1_q17_dr25_tce,11111110111011101000000000000000,0.5649,Mandel and Agol (2002 ApJ 580 171),,,011/011443/011443757/dv/kplr011443757-20160209194854_dvr.pdf,011/011443/011443757/dv/kplr011443757-001-20160209194854_dvs.pdf,5216.0,172.0,-172.0,3.402,0.592,-0.197,-0.08,0.3,-0.3,4.303,1.102,-2.571,1.703,0.195,-0.732,,,,q1_q17_dr25_stellar,285.08685,49.36282,13.589,14.297,13.515,13.286,13.117,12.078,11.551,11.463,0.013,19.005824,2e-05,49.36264,0.00019,1.19,0.71,-0.66,0.67,-0.00032,0.00019,0.00023,0.00018,0.3,0.46,-0.23,0.49,0.37,0.63,0.25,0.48,-0.08,0.54,0.26,0.6,K08054,single,thick,1.0,False,thick,1.0,275,275,0,category_count_exact_before_visual_qc,1.386,4949.9,3.19,-0.117,4.916,-1.944,-2.642,-2.659,2.64,5225.0,4.788,1.0,0.0,False,False,False,missing,,,,,True,original_archive:ALDERAAN results file not found;cloud_missing:ALDERAAN results file not found,missing_after_uniform_assembly
3537,6462863,K00094.04,Kepler-89 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.743166733,5.614e-06,-5.614e-06,131.61967,0.00142,-0.00142,2454964.62,0.00142,-0.00142,0.0,,,,,,0.008,0.392,-0.008,3.6888,0.0421,-0.0421,,,,126.3,2.2,-2.2,0.010306,0.00048,-0.000224,0.654,0.01482,-0.17096,LS+MCMC,1.5,0.27,-0.23,0.0488,,,89.94,,,1423.0,,,971.76,487.5,-328.28,7.854,0.178,-0.178,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.305,0.3201,q1_q17_dr25_koi,6.2497396,31.52265,47.2,4,154.0,4.0,q1_q17_dr25_tce,10011001100110011000000000000000,0.1809,Mandel and Agol (2002 ApJ 580 171),,,006/006462/006462863/dv/kplr006462863-20160209194854_dvr.pdf,006/006462/006462863/dv/kplr006462863-004-20160209194854_dvs.pdf,6181.0,111.0,-135.0,4.234,0.143,-0.117,-0.02,0.15,-0.15,1.331,0.243,-0.199,1.106,0.116,-0.074,,,,q1_q17_dr25_stellar,297.33307,41.891121,12.205,12.551,12.186,12.057,12.039,11.218,10.957,10.926,0.032,19.822201,7.3e-06,41.891176,6.6e-05,-0.12,0.29,0.2,0.24,6.1e-05,3.6e-05,-2.1e-05,2.9e-05,-0.41,0.21,0.07,0.29,0.41,0.21,-0.24,0.23,0.24,0.29,0.34,0.26,K00094,multi,thin,0.1353,True,thin,0.1353,862,883,21,candidate_in_category_with_unpublished_final_rejections,1.339,6837.1,4.316,-0.048,1.33,-0.248,-1.507,-1.504,0.43,6181.0,1.383,0.0,0.0,False,False,False,missing,,,,,True,original_archive:ALDERAAN results file not found;cloud_missing:ALDERAAN results file not found,missing_after_uniform_assembly
