stage,population,model,n_planets,estimate,lower,upper
recovered_all,all,rayleigh,2465,0.213779965953242,0.209477304647997,0.2181894251660706
recovered_all,all,beta_map,2465,0.14305761918182272,,
recovered_all,thick_singles,rayleigh,269,0.23407205501632583,0.22004767033529524,0.24899953233861177
recovered_all,thick_singles,beta_map,269,0.15025235307089185,,
recovered_all,thin_singles,rayleigh,1109,0.24599718786463912,0.2391291339892015,0.2531049633031283
recovered_all,thin_singles,beta_map,1109,0.1767655787939833,,
recovered_all,thick_multis,rayleigh,209,0.14081018270428372,0.12896462474290596,0.15415048147478605
recovered_all,thick_multis,beta_map,209,0.08872764842670379,,
recovered_all,thin_multis,rayleigh,878,0.17128922663143184,0.1651709856332555,0.17769066322553215
recovered_all,thin_multis,beta_map,878,0.10876627372043998,,
recovered_koi_prad_lt_3p5,all,rayleigh,2144,0.18221418320553964,0.17777246915408065,0.18678037770985303
recovered_koi_prad_lt_3p5,all,beta_map,2144,0.1168618344245628,,
recovered_koi_prad_lt_3p5,thick_singles,rayleigh,234,0.20447686848568686,0.18979777717537008,0.22033055930924755
recovered_koi_prad_lt_3p5,thick_singles,beta_map,234,0.12797516227678757,,
recovered_koi_prad_lt_3p5,thin_singles,rayleigh,930,0.19376841238575174,0.18644523873796562,0.20139639564859646
recovered_koi_prad_lt_3p5,thin_singles,beta_map,930,0.1306869163526023,,
recovered_koi_prad_lt_3p5,thick_multis,rayleigh,193,0.13974914111746053,0.12821520483224388,0.15272858238877854
recovered_koi_prad_lt_3p5,thick_multis,beta_map,193,0.08372572397272676,,
recovered_koi_prad_lt_3p5,thin_multis,rayleigh,787,0.17475895031378622,0.16823431785378062,0.1815940049868016
recovered_koi_prad_lt_3p5,thin_multis,beta_map,787,0.10798426674382744,,
recovered_berger_ror_lt_3p5,all,rayleigh,2153,0.1763264701801686,0.17195009624722993,0.18083387103839094
recovered_berger_ror_lt_3p5,all,beta_map,2153,0.11239041500701666,,
recovered_berger_ror_lt_3p5,thick_singles,rayleigh,229,0.14894266095586417,0.1343358736451596,0.1652925730200474
recovered_berger_ror_lt_3p5,thick_singles,beta_map,229,0.09689275603009025,,
recovered_berger_ror_lt_3p5,thin_singles,rayleigh,926,0.19992566584493562,0.19265857377183665,0.20749228910385512
recovered_berger_ror_lt_3p5,thin_singles,beta_map,926,0.13407782314502273,,
recovered_berger_ror_lt_3p5,thick_multis,rayleigh,194,0.14086321987699474,0.12920984397090157,0.15397069695663482
recovered_berger_ror_lt_3p5,thick_multis,beta_map,194,0.08490356764059943,,
recovered_berger_ror_lt_3p5,thin_multis,rayleigh,804,0.16334216038309818,0.15702127717763073,0.16996333269030278
recovered_berger_ror_lt_3p5,thin_multis,beta_map,804,0.1007901276941089,,
gilbert_small_prefit_intersection,all,rayleigh,1261,0.11677136218706557,0.11203738736332007,0.12172064067852258
gilbert_small_prefit_intersection,all,beta_map,1261,0.06950569271998892,,
