stage,disk,system,n_planets,median_planet_e50,mean_planet_e50,fraction_planet_e50_gt_0p2
recovered_all,thick,multi,209,0.2384386203744868,0.29698024619473873,0.7320574162679426
recovered_all,thick,single,269,0.285326103120693,0.34440661981563664,0.8698884758364313
recovered_all,thin,multi,878,0.23576155740211518,0.29125780754424924,0.7164009111617312
recovered_all,thin,single,1109,0.2941451281536354,0.3455880904753323,0.8277727682596934
recovered_koi_prad_lt_3p5,thick,multi,193,0.2359636404800343,0.290239038600616,0.7357512953367875
recovered_koi_prad_lt_3p5,thick,single,234,0.28479208651009535,0.33868342028938775,0.8846153846153846
recovered_koi_prad_lt_3p5,thin,multi,787,0.238062490396421,0.290981391452314,0.7280813214739518
recovered_koi_prad_lt_3p5,thin,single,930,0.2946316783874071,0.3466430566733075,0.8526881720430107
recovered_berger_ror_lt_3p5,thick,multi,194,0.23765462976567076,0.29323536860830063,0.7371134020618557
recovered_berger_ror_lt_3p5,thick,single,229,0.285326103120693,0.33685347960728346,0.8820960698689956
recovered_berger_ror_lt_3p5,thin,multi,804,0.237926141884428,0.28972872644866965,0.7263681592039801
recovered_berger_ror_lt_3p5,thin,single,926,0.29199899919861355,0.3430838510086518,0.8498920086393088
gilbert_small_prefit_intersection,thick,multi,131,0.2297825844488352,0.29353557345916376,0.7099236641221374
gilbert_small_prefit_intersection,thick,single,118,0.2723841219756286,0.31522274620380847,0.8559322033898306
gilbert_small_prefit_intersection,thin,multi,503,0.2285197107912706,0.27665083197778023,0.6898608349900597
gilbert_small_prefit_intersection,thin,single,509,0.271541875931316,0.308016889007375,0.8015717092337917
gilbert_small_postfit_intersection,thick,multi,123,0.2253926018884738,0.2857082972877372,0.6991869918699187
gilbert_small_postfit_intersection,thick,single,101,0.2646458377677712,0.3098339651835887,0.8316831683168316
gilbert_small_postfit_intersection,thin,multi,489,0.2267091474035972,0.27285322619626284,0.6830265848670757
gilbert_small_postfit_intersection,thin,single,451,0.2689221182445153,0.30290904593476575,0.7827050997782705
gilbert_cumulative_through_qc_unavailable,thick,multi,131,0.2297825844488352,0.29353557345916376,0.7099236641221374
gilbert_cumulative_through_qc_unavailable,thick,single,118,0.2723841219756286,0.31522274620380847,0.8559322033898306
gilbert_cumulative_through_qc_unavailable,thin,multi,503,0.2285197107912706,0.27665083197778023,0.6898608349900597
gilbert_cumulative_through_qc_unavailable,thin,single,509,0.271541875931316,0.308016889007375,0.8015717092337917
gilbert_cumulative_through_grazing,thick,multi,124,0.22582639507872965,0.2903312857939567,0.7016129032258065
gilbert_cumulative_through_grazing,thick,single,102,0.2652645237932666,0.31151244278514606,0.8333333333333334
gilbert_cumulative_through_grazing,thin,multi,489,0.2267091474035972,0.27285322619626284,0.6830265848670757
gilbert_cumulative_through_grazing,thin,single,456,0.27085182370082206,0.30350059100257515,0.7850877192982456
gilbert_cumulative_through_planet_radius_precision,thick,multi,124,0.22582639507872965,0.2903312857939567,0.7016129032258065
gilbert_cumulative_through_planet_radius_precision,thick,single,102,0.2652645237932666,0.31151244278514606,0.8333333333333334
gilbert_cumulative_through_planet_radius_precision,thin,multi,489,0.2267091474035972,0.27285322619626284,0.6830265848670757
gilbert_cumulative_through_planet_radius_precision,thin,single,456,0.27085182370082206,0.30350059100257515,0.7850877192982456
gilbert_cumulative_through_density_asymmetry,thick,multi,124,0.22582639507872965,0.2903312857939567,0.7016129032258065
gilbert_cumulative_through_density_asymmetry,thick,single,101,0.2646458377677712,0.3098339651835887,0.8316831683168316
gilbert_cumulative_through_density_asymmetry,thin,multi,489,0.2267091474035972,0.27285322619626284,0.6830265848670757
gilbert_cumulative_through_density_asymmetry,thin,single,451,0.2689221182445153,0.30290904593476575,0.7827050997782705
gilbert_cumulative_through_importance_viability,thick,multi,123,0.2253926018884738,0.2857082972877372,0.6991869918699187
gilbert_cumulative_through_importance_viability,thick,single,101,0.2646458377677712,0.3098339651835887,0.8316831683168316
gilbert_cumulative_through_importance_viability,thin,multi,489,0.2267091474035972,0.27285322619626284,0.6830265848670757
gilbert_cumulative_through_importance_viability,thin,single,451,0.2689221182445153,0.30290904593476575,0.7827050997782705
