dataset,population,n_planets,convention,sigma_lower,sigma16,sigma50,sigma84,sigma_map,expected_e16,expected_e50,expected_e84,expected_e_map
sagear_2023_zenodo,singles,67,natural_log,0.010001,0.1626641703841525,0.18308979942072384,0.205939386822208,0.18064082994331446,0.20386930437715564,0.22946903401225247,0.2581067449343587,0.22639970594436112
sagear_2023_zenodo,singles,67,archived_log10,0.010001,0.15582397404543727,0.18629843037927285,0.2223629873019636,0.18064082994331446,0.19529638960383008,0.2334904565540301,0.27869067560125804,0.22639970594436112
sagear_2023_zenodo,multis,96,natural_log,0.010001,0.018380549739285185,0.02948867061941071,0.04113187340520134,0.02958748482827609,0.023036602839876852,0.03695856777794767,0.05155115843301027,0.0370824130228863
sagear_2023_zenodo,multis,96,archived_log10,0.010001,0.018179149752801427,0.03244861957578307,0.05005372888397269,0.02958748482827609,0.022784185389561607,0.04066831365070141,0.06273304603564017,0.0370824130228863
sagear_2023_zenodo,all,163,natural_log,0.010001,0.11190783592740992,0.12234148805280663,0.1339641467120777,0.12128784561520506,0.14025567284420629,0.1533323165567979,0.16789915896765475,0.1520117715940763
sagear_2023_zenodo,all,163,archived_log10,0.010001,0.10829376983308195,0.12390174681780423,0.14224961744877518,0.12128784561520506,0.13572611271499244,0.15528781092483981,0.17828345657627157,0.1520117715940763
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thick_multi,193,natural_log,0.0001,0.08311833509927613,0.09143554791950863,0.10090142518803395,0.09048601400560224,0.10417338445004992,0.11459746486070903,0.12646118266344525,0.11340740058254964
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thick_multi,193,archived_log10,0.0001,0.08045678312587107,0.09295977200840694,0.10817654217294424,0.09048601400560224,0.10083762373458138,0.11650779645976211,0.13557918963125742,0.11340740058254964
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thick_multi,193,natural_log,0.001,0.08311833509927613,0.09143554791950864,0.10090142518803397,0.09048601400560224,0.10417338445004992,0.11459746486070904,0.12646118266344528,0.11340740058254964
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thick_multi,193,archived_log10,0.001,0.08045678312587107,0.09295977200840694,0.10817654217294424,0.09048601400560224,0.10083762373458138,0.11650779645976211,0.13557918963125742,0.11340740058254964
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thick_multi,193,natural_log,0.010001,0.08311833509927613,0.09143554791950863,0.10090142518803395,0.09048601400560224,0.10417338445004992,0.11459746486070903,0.12646118266344525,0.11340740058254964
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thick_multi,193,archived_log10,0.010001,0.08045678312587108,0.09295977200840694,0.10817654217294426,0.09048601400560224,0.1008376237345814,0.11650779645976211,0.13557918963125745,0.11340740058254964
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thick_single,218,natural_log,0.0001,0.11159218444862463,0.12230065217446817,0.13416786685640006,0.12145492717086835,0.13986006238338014,0.15328113637316662,0.16815448430458993,0.15222117726987378
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thick_single,218,archived_log10,0.0001,0.10772939368798269,0.12379583633247597,0.14251238771793587,0.12145492717086835,0.1350187721135759,0.15515507181628796,0.17861279026947688,0.15222117726987378
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thick_single,218,natural_log,0.001,0.11159218444862463,0.12230065217446817,0.13416786685640006,0.12145492717086835,0.13986006238338014,0.15328113637316662,0.16815448430458993,0.15222117726987378
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thick_single,218,archived_log10,0.001,0.10772939368798268,0.12379583633247596,0.14251238771793584,0.12145492717086835,0.13501877211357588,0.15515507181628796,0.17861279026947682,0.15222117726987378
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thick_single,218,natural_log,0.010001,0.11159218444862463,0.12230065217446817,0.13416786685640006,0.12145492717086835,0.13986006238338014,0.15328113637316662,0.16815448430458993,0.15222117726987378
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thick_single,218,archived_log10,0.010001,0.10772939368798269,0.12379583633247597,0.14251238771793587,0.12145492717086835,0.1350187721135759,0.15515507181628796,0.17861279026947688,0.15222117726987378
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thin_multi,821,natural_log,0.0001,0.0651239840885185,0.06912044100089054,0.07331370282481169,0.06923989915966387,0.0816208099364499,0.08662962588389805,0.0918851002092838,0.08677934448310635
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thin_multi,821,archived_log10,0.0001,0.06338582383093974,0.06938796864565974,0.07585678417177086,0.06923989915966387,0.0794423491127065,0.08696492206321,0.09507238001377108,0.08677934448310635
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thin_multi,821,natural_log,0.001,0.0651239840885185,0.06912044100089054,0.07331370282481169,0.06923989915966387,0.0816208099364499,0.08662962588389805,0.0918851002092838,0.08677934448310635
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thin_multi,821,archived_log10,0.001,0.06338582383093974,0.06938796864565974,0.07585678417177086,0.06923989915966387,0.0794423491127065,0.08696492206321,0.09507238001377108,0.08677934448310635
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thin_multi,821,natural_log,0.010001,0.0651239840885185,0.06912044100089054,0.07331370282481169,0.06923989915966387,0.0816208099364499,0.08662962588389805,0.0918851002092838,0.08677934448310635
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thin_multi,821,archived_log10,0.010001,0.06338582383093974,0.06938796864565974,0.07585678417177086,0.06923989915966387,0.0794423491127065,0.08696492206321,0.09507238001377108,0.08677934448310635
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thin_single,887,natural_log,0.0001,0.1648523914564757,0.1705866414391879,0.1765336827884618,0.17042902240896357,0.20661183278266998,0.21379864935290432,0.22125216035114914,0.2136011031940142
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thin_single,887,archived_log10,0.0001,0.16224020529680955,0.17086989544307563,0.17999533219732722,0.17042902240896357,0.2033379429394605,0.21415365560042804,0.22559069449371003,0.2136011031940142
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thin_single,887,natural_log,0.001,0.1648523914564757,0.1705866414391879,0.1765336827884618,0.17042902240896357,0.20661183278266998,0.21379864935290432,0.22125216035114914,0.2136011031940142
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thin_single,887,archived_log10,0.001,0.16224020529680955,0.17086989544307563,0.17999533219732722,0.17042902240896357,0.2033379429394605,0.21415365560042804,0.22559069449371003,0.2136011031940142
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thin_single,887,natural_log,0.010001,0.1648523914564757,0.1705866414391879,0.17653368278846177,0.17042902240896357,0.20661183278266998,0.21379864935290432,0.2212521603511491,0.2136011031940142
eccentricity_posterior_summary_SOURCE_FAITHFUL_RMS_PERIASTRON_GILBERT_QC_20260807.csv,thin_single,887,archived_log10,0.010001,0.16224020529680955,0.17086989544307563,0.17999533219732722,0.17042902240896357,0.2033379429394605,0.21415365560042804,0.22559069449371003,0.2136011031940142
