disk,system,op_status,n,e50_mean,e50_median,e50_p84,e50_gt_0p2,e50_gt_0p5
thick,multi,all_existing_extracted,160,0.2819227544006687,0.2131567102521537,0.4221545499935987,89,19
thick,multi,baseline_usable_existing,133,0.2308273534086055,0.1976533841841705,0.2905724157087099,65,0
thick,multi,existing_flagged_review_or_refit,27,0.5336149148430543,0.5584720871205416,0.7365921188421418,24,19
thick,single,all_existing_extracted,149,0.3355184662320711,0.2740959199683862,0.5132758783256525,121,25
thick,single,baseline_usable_existing,116,0.2672235790837437,0.24863235210850204,0.36782572430860994,88,0
thick,single,existing_flagged_review_or_refit,33,0.5755853422686159,0.6017580138240265,0.7083973621931593,33,25
thin,multi,all_existing_extracted,664,0.28367521356527287,0.2186413311535178,0.4183306671338808,402,74
thin,multi,baseline_usable_existing,558,0.2363698107613682,0.2061709460697791,0.32096432355308424,302,0
thin,multi,existing_flagged_review_or_refit,106,0.532697994363186,0.5519147898549003,0.7129006999628018,100,74
thin,single,all_existing_extracted,756,0.3328393534735974,0.2809972514969354,0.49945163986386143,587,121
thin,single,baseline_usable_existing,602,0.2701377097774961,0.24581725624693707,0.37405874623643204,436,0
thin,single,existing_flagged_review_or_refit,154,0.577945778831084,0.5882351502159934,0.7353298832251771,151,121
