kepid,mass,logg,radius,rho_log,rho_log_upper,rho_log_lower,radius_b18,radius_b18_err_upper,radius_b18_err_lower,evol_b18,bin_b18,rho_b20_from_mass_b18_radius,delta_logrho_b20_vs_hybrid
7626506,0.901,4.51,0.872,0.13,-1.014,-0.933,0.913,0.039,0.037,0.0,0.0,1.1838930154276357,0.05668754162383388
12252424,0.766,4.566,0.753,0.25,-0.879,-0.939,0.749,0.032,0.03,0.0,0.0,1.8229859291498327,-0.010783316534204501
8972058,1.119,4.389,1.119,-0.1,-1.254,-1.167,1.147,0.05,0.048,0.0,0.0,0.7415489645612974,0.029860167175453034
5088536,1.026,4.35,1.118,-0.139,-1.101,-1.126,1.146,0.049,0.046,0.0,0.0,0.6817003357266519,0.02740649211831589
9881662,1.081,4.329,1.174,-0.18,-1.135,-1.172,1.187,0.051,0.049,0.0,0.0,0.6463586081638525,0.009526462910463357
10982872,1.049,4.374,1.099,-0.107,-1.102,-1.097,1.116,0.048,0.045,0.0,0.0,0.754714865644465,0.015217095611122153
10937029,0.894,4.546,0.835,0.183,-0.986,-0.896,0.872,0.042,0.04,0.0,0.0,1.3483047483878738,0.05321193600178403
6266741,1.04,4.452,1.001,0.011,-1.115,-1.042,1.004,0.045,0.043,0.0,0.0,1.0276191783713544,-0.0008322008717787273
6381846,0.977,4.5,0.919,0.096,-1.026,-0.978,0.937,0.048,0.045,0.0,2.0,1.1876153194076264,0.021324208944561843
8022244,1.068,4.324,1.171,-0.186,-1.004,-1.05,1.21,0.068,0.064,0.0,0.0,0.6028581572974343,0.03378485825681263
8806123,0.974,4.161,1.351,-0.411,-1.233,-1.3,1.369,0.074,0.069,0.0,0.0,0.37961958710150223,0.009651387523354482
9941859,0.889,4.49,0.886,0.102,-0.899,-0.852,0.897,0.04,0.038,0.0,0.0,1.2317552778874337,0.011475568162062605
10513530,0.834,4.567,0.786,0.231,-0.942,-0.843,0.783,0.059,0.053,0.0,0.0,1.7373237810772304,-0.008880764463908453
10554999,0.855,4.528,0.832,0.169,-0.892,-0.846,0.83,0.037,0.035,0.0,0.0,1.495312065506911,-0.005731837599950967
12058931,1.142,4.222,1.36,-0.354,-1.149,-1.255,1.381,0.078,0.072,0.0,0.0,0.4335958013887337,0.008914931826064676
4270253,1.017,4.401,1.048,-0.06,-0.961,-0.962,1.062,0.056,0.053,0.0,0.0,0.8490776371945654,0.011052597313606347
7445445,0.877,4.548,0.823,0.193,-1.028,-0.946,0.832,0.037,0.035,0.0,0.0,1.5227535284265477,0.010370385506131286
8193178,1.246,4.141,1.558,-0.492,-1.41,-1.406,1.614,0.084,0.079,1.0,0.0,0.29635171930033977,0.03619254883500411
8355239,0.793,4.572,0.762,0.25,-0.896,-0.827,0.761,0.034,0.032,0.0,0.0,1.7993647861102908,-0.005119217005885357
10600261,1.016,4.454,0.987,0.019,-1.013,-0.973,1.008,0.054,0.051,0.0,0.0,0.9920010038112835,0.022487888380618985
5531694,1.102,4.158,1.445,-0.441,-1.435,-1.416,1.47,0.065,0.062,0.0,0.0,0.3469202017425972,0.01877040972876204
6685609,1.369,4.121,1.678,-0.544,-1.563,-1.66,1.709,0.074,0.07,1.0,0.0,0.27426933907303314,0.017822740028220485
8557374,1.048,4.384,1.087,-0.093,-1.081,-1.081,1.104,0.048,0.045,0.0,0.0,0.7788504272333481,0.015545937531832546
8738735,1.207,4.1,1.609,-0.547,-1.482,-1.531,1.626,0.077,0.073,1.0,0.0,0.2807667315427166,0.004654353676798784
9597345,1.058,4.421,1.047,-0.039,-1.108,-1.054,1.053,0.046,0.043,0.0,0.0,0.9061509584443053,0.0037994458572924855
10358759,0.8,4.597,0.743,0.285,-0.791,-0.742,0.748,0.043,0.04,0.0,0.0,1.9115479363463712,0.003614806601440479
3342970,1.158,4.353,1.18,-0.162,-0.986,-0.986,1.216,0.092,0.084,0.0,0.0,0.6440325752432935,0.029092165418730997
5456651,0.812,4.57,0.772,0.242,-0.911,-0.835,0.769,0.038,0.036,0.0,0.0,1.785570531422447,-0.009777009836882178
6849310,0.901,4.496,0.886,0.107,-0.805,-0.766,0.879,0.051,0.048,0.0,0.0,1.326655511952762,-0.01575816575774734
8226994,0.79,4.568,0.763,0.245,-0.828,-0.793,0.76,0.038,0.036,0.0,0.0,1.7996428050736257,-0.010186314448067335
9334289,0.895,4.471,0.906,0.071,-0.7,-0.694,0.931,0.07,0.064,0.0,0.0,1.1091083945649667,0.02602600762811596
9415172,0.954,4.486,0.922,0.08,-0.892,-0.84,0.926,0.051,0.048,0.0,0.0,1.201476870482113,0.0002845853417079436
9823457,0.92,4.483,0.908,0.084,-0.893,-0.841,0.919,0.046,0.044,0.0,0.0,1.1853355048147238,0.01015870681277857
2302548,0.798,4.571,0.766,0.248,-0.946,-0.865,0.75,0.032,0.03,0.0,0.0,1.8915555555555557,-0.028819101175629303
2716853,0.922,4.451,0.94,0.036,-0.772,-0.771,0.939,0.084,0.075,0.0,0.0,1.1136126208322386,-0.010734144255296604
5956342,0.972,4.452,0.966,0.026,-0.879,-0.856,0.973,0.059,0.055,0.0,0.0,1.0551828989825092,0.0026722558787811573
6359320,0.998,3.977,1.674,-0.692,-1.277,-1.384,1.718,0.167,0.146,1.0,0.0,0.19681629984917687,0.013938937198299417
10468940,0.783,4.549,0.776,0.219,-0.789,-0.793,0.794,0.036,0.034,0.0,0.0,1.564228717455672,0.02469974522334545
3962243,0.921,4.495,0.896,0.1,-0.826,-0.801,0.914,0.058,0.053,0.0,0.0,1.2062047739348039,0.018578957004645333
3939150,1.317,4.066,1.751,-0.618,-1.606,-1.622,1.769,0.08,0.076,1.0,0.0,0.23790429149335568,0.005597723767385543
6607286,0.974,4.494,0.922,0.087,-0.947,-0.932,0.918,0.054,0.05,0.0,0.0,1.2590150258557218,-0.013030913274888145
