rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_target,system,disk_published,p_thick_published,has_measured_velocity,disk,P_thick,paper_category_target,pre_visual_category_count,category_excess_before_visual_qc,paper_membership_status,berger_mass,berger_teff,berger_logg,berger_feh,berger_rad,rho_log,rho_log_upper,rho_log_lower,berger_age,berger2018_teff,berger2018_rad,berger2018_evol,berger2018_bin,archive_result_target_available,cloud_result_target_available,any_result_target_available,preferred_result_source,posterior_file,posterior_source,transit_fit_source,impact_mode,qc_primary_exclude,qc_reasons,posterior_status
625,7626506,K00150.01,Kepler-112 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.408878137,6.128e-06,-6.128e-06,134.006366,0.000606,-0.000606,2454967.006,0.000606,-0.000606,0.0,,,,,,0.018,0.307,-0.018,3.4967,0.0196,-0.0196,,,,798.9,6.1,-6.1,0.025693,0.000347,-0.000142,1.79186,0.02953,-0.29581,LS+MCMC,2.28,0.19,-0.2,0.0744,,,89.95,,,809.0,,,101.22,28.04,-23.26,18.85,0.311,-0.311,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2665,0.398,q1_q17_dr25_koi,16.77422,132.78516,147.2,2,162.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.8981,Mandel and Agol (2002 ApJ 580 171),,,007/007626/007626506/dv/kplr007626506-20160209194854_dvr.pdf,007/007626/007626506/dv/kplr007626506-001-20160209194854_dvs.pdf,5551.0,111.0,-111.0,4.508,0.077,-0.063,-0.42,0.15,-0.15,0.812,0.07,-0.07,0.776,0.058,-0.039,,,,q1_q17_dr25_stellar,296.98102,43.209751,13.771,14.282,13.739,13.552,13.448,12.583,12.226,12.155,0.0,19.7987372,2.2e-06,43.209853,2.7e-05,0.127,0.085,0.372,0.097,-0.000159,6.8e-05,0.000342,7.9e-05,0.014,0.073,-0.083,0.091,0.084,0.089,0.259,0.074,-0.138,0.089,0.294,0.078,K00150,multi,thick,0.9974,True,thick,0.9974,207,212,5,candidate_in_category_with_unpublished_final_rejections,0.901,5964.7,4.51,-0.454,0.872,0.13,-1.014,-0.933,2.75,5501.0,0.913,0.0,0.0,True,False,True,original_archive,untracked_local_posterior/published_inventory_archive_equal_50k/K00150_K00150_01_eomega_posterior.npz,uniform_paired_direct_importance,original_alderaan_archive,alderaan,False,missing_qc_reason,posterior_available
318,7626506,K00150.02,Kepler-112 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,28.5742692,4.06e-05,-4.06e-05,143.8315,0.00113,-0.00113,2454976.831,0.00113,-0.00113,0.0,,,,,,0.068,0.328,-0.068,4.9427,0.0403,-0.0403,,,,824.9,9.2,-9.2,0.026109,0.000527,-0.000231,2.14286,0.10772,-0.47378,LS+MCMC,2.32,0.19,-0.2,0.1681,,,89.91,,,538.0,,,19.83,5.49,-4.56,45.22,2.3,-2.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2665,0.398,q1_q17_dr25_koi,18.866709,87.12114,97.1,2,46.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0614,Mandel and Agol (2002 ApJ 580 171),,,007/007626/007626506/dv/kplr007626506-20160209194854_dvr.pdf,007/007626/007626506/dv/kplr007626506-002-20160209194854_dvs.pdf,5551.0,111.0,-111.0,4.508,0.077,-0.063,-0.42,0.15,-0.15,0.812,0.07,-0.07,0.776,0.058,-0.039,,,,q1_q17_dr25_stellar,296.98102,43.209751,13.771,14.282,13.739,13.552,13.448,12.583,12.226,12.155,0.0,19.798739,3.3e-06,43.209801,4.1e-05,0.2,0.13,0.18,0.15,-0.00022,0.00011,0.00052,0.00013,0.02,0.12,-0.1,0.12,0.1,0.12,0.26,0.12,-0.11,0.12,0.29,0.12,K00150,multi,thick,0.9974,True,thick,0.9974,207,212,5,candidate_in_category_with_unpublished_final_rejections,0.901,5964.7,4.51,-0.454,0.872,0.13,-1.014,-0.933,2.75,5501.0,0.913,0.0,0.0,True,False,True,original_archive,untracked_local_posterior/published_inventory_archive_equal_50k/K00150_K00150_02_eomega_posterior.npz,uniform_paired_direct_importance,original_alderaan_archive,alderaan,False,missing_qc_reason,posterior_available
961,12252424,K00153.02,Kepler-113 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.75400072,2.846e-06,-2.846e-06,128.547155,0.000495,-0.000495,2454961.547,0.000495,-0.000495,0.0,,,,,,0.672,0.004,-0.507,2.5394,0.0219,-0.0219,,,,748.7,6.0,-6.0,0.026463,9.1e-05,-0.001978,1.15331,1.28011,-0.06922,LS+MCMC,2.0,0.14,-0.06,0.0502,,,86.54,,,775.0,,,85.23,20.48,-11.28,11.13,4.1,-4.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1082,0.627,q1_q17_dr25_koi,18.243238,129.67842,141.4,2,278.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.278,Mandel and Agol (2002 ApJ 580 171),,,012/012252/012252424/dv/kplr012252424-20160209194854_dvr.pdf,012/012252/012252424/dv/kplr012252424-001-20160209194854_dvs.pdf,4728.0,94.0,-94.0,4.628,0.012,-0.048,0.04,0.15,-0.15,0.693,0.049,-0.021,0.768,0.031,-0.047,,,,q1_q17_dr25_stellar,287.99789,50.944328,13.461,14.31,13.399,13.097,12.951,11.886,11.36,11.255,0.048,19.1998606,3.3e-06,50.94432,3e-05,0.07,0.11,-0.04,0.11,-0.000147,8.3e-05,4.7e-05,8.1e-05,-0.01,0.076,0.068,0.087,0.069,0.087,-0.086,0.076,-0.248,0.085,0.262,0.083,K00153,multi,thick,0.7376,True,thick,0.7376,207,212,5,candidate_in_category_with_unpublished_final_rejections,0.766,4679.6,4.566,0.165,0.753,0.25,-0.879,-0.939,,4791.0,0.749,0.0,0.0,True,False,True,original_archive,untracked_local_posterior/published_inventory_archive_equal_50k/K00153_K00153_02_eomega_posterior.npz,uniform_paired_direct_importance,original_alderaan_archive,alderaan,False,missing_qc_reason,posterior_available
914,12252424,K00153.01,Kepler-113 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.925079516,5.992e-06,-5.992e-06,139.71389,0.000532,-0.000532,2454972.714,0.000532,-0.000532,0.0,,,,,,0.74,0.003,-0.525,2.6766,0.0265,-0.0265,,,,977.5,8.0,-8.0,0.031128,0.000379,-0.00278,1.46032,2.4083,-0.75396,LS+MCMC,2.36,0.16,-0.08,0.0763,,,87.69,,,628.0,,,36.89,8.87,-4.88,18.32,7.6,-7.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1082,0.627,q1_q17_dr25_koi,16.532843,122.09825,135.8,2,140.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.7416,Mandel and Agol (2002 ApJ 580 171),,,012/012252/012252424/dv/kplr012252424-20160209194854_dvr.pdf,012/012252/012252424/dv/kplr012252424-002-20160209194854_dvs.pdf,4728.0,94.0,-94.0,4.628,0.012,-0.048,0.04,0.15,-0.15,0.693,0.049,-0.021,0.768,0.031,-0.047,,,,q1_q17_dr25_stellar,287.99789,50.944328,13.461,14.31,13.399,13.097,12.951,11.886,11.36,11.255,0.124,19.1998589,3.4e-06,50.944313,3.1e-05,0.01,0.12,-0.06,0.11,-0.00013,0.00011,9e-05,0.00011,-0.114,0.093,-0.02,0.11,0.116,0.096,-0.22,0.1,-0.27,0.12,0.35,0.13,K00153,multi,thick,0.7376,True,thick,0.7376,207,212,5,candidate_in_category_with_unpublished_final_rejections,0.766,4679.6,4.566,0.165,0.753,0.25,-0.879,-0.939,,4791.0,0.749,0.0,0.0,True,False,True,original_archive,untracked_local_posterior/published_inventory_archive_equal_50k/K00153_K00153_01_eomega_posterior.npz,uniform_paired_direct_importance,original_alderaan_archive,alderaan,False,missing_qc_reason,posterior_available
898,8972058,K00159.02,Kepler-115 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.403640701,7.54e-06,-7.54e-06,134.73065,0.00276,-0.00276,2454967.731,0.00276,-0.00276,0.0,,,,,,0.918,0.033,-0.71,1.4012,0.0852,-0.0852,,,,74.9,5.4,-5.4,0.009671,0.000943,-0.001849,0.5729,7.77552,-0.36375,LS+MCMC,1.24,0.2,-0.17,0.0355,,,80.55,,,1489.0,,,1164.85,539.01,-365.22,5.59,2.7,-2.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2844,0.3661,q1_q17_dr25_koi,3.4888303,15.105959,16.3,2,524.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.4825,Mandel and Agol (2002 ApJ 580 171),,,008/008972/008972058/dv/kplr008972058-20160209194854_dvr.pdf,008/008972/008972058/dv/kplr008972058-002-20160209194854_dvs.pdf,5881.0,105.0,-117.0,4.315,0.115,-0.115,0.07,0.15,-0.15,1.171,0.196,-0.161,1.032,0.089,-0.067,,,,q1_q17_dr25_stellar,297.71185,45.261921,13.431,13.87,13.384,13.243,13.2,12.315,12.028,11.97,0.221,19.847437,2.2e-05,45.2621,0.00022,-0.71,0.83,0.65,0.79,5.9e-05,5.8e-05,-3.2e-05,5.5e-05,0.39,0.54,0.09,0.32,0.4,0.5,0.61,0.55,0.32,0.37,0.69,0.43,K00159,multi,thick,0.8667,True,thick,0.8667,207,212,5,candidate_in_category_with_unpublished_final_rejections,1.119,6204.5,4.389,-0.08,1.119,-0.1,-1.254,-1.167,1.52,6000.0,1.147,0.0,0.0,True,False,True,original_archive,untracked_local_posterior/published_inventory_archive_equal_50k/K00159_K00159_02_eomega_posterior.npz,uniform_paired_direct_importance,original_alderaan_archive,alderaan,False,missing_qc_reason,posterior_available
838,8972058,K00159.01,Kepler-115 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.99088621,1.135e-05,-1.135e-05,136.73923,0.00107,-0.00107,2454969.739,0.00107,-0.00107,0.0,,,,,,0.77,0.016,-0.529,4.2447,0.0306,-0.0306,,,,469.7,5.4,-5.4,0.021706,5.2e-05,-0.001717,0.30277,0.63555,-0.07293,LS+MCMC,2.78,0.46,-0.39,0.0856,,,85.95,,,960.0,,,200.35,92.7,-62.82,10.9,4.6,-4.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2844,0.3661,q1_q17_dr25_koi,9.809175,72.13723,93.6,2,147.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.3623,Mandel and Agol (2002 ApJ 580 171),,,008/008972/008972058/dv/kplr008972058-20160209194854_dvr.pdf,008/008972/008972058/dv/kplr008972058-001-20160209194854_dvs.pdf,5881.0,105.0,-117.0,4.315,0.115,-0.115,0.07,0.15,-0.15,1.171,0.196,-0.161,1.032,0.089,-0.067,,,,q1_q17_dr25_stellar,297.71185,45.261921,13.431,13.87,13.384,13.243,13.2,12.315,12.028,11.97,0.947,19.8474592,4.1e-06,45.261978,4e-05,0.12,0.16,0.21,0.15,6e-06,7.2e-05,-1.1e-05,6.8e-05,-0.02,0.13,0.15,0.12,0.15,0.12,0.14,0.14,0.36,0.13,0.38,0.15,K00159,multi,thick,0.8667,True,thick,0.8667,207,212,5,candidate_in_category_with_unpublished_final_rejections,1.119,6204.5,4.389,-0.08,1.119,-0.1,-1.254,-1.167,1.52,6000.0,1.147,0.0,0.0,True,False,True,original_archive,untracked_local_posterior/published_inventory_archive_equal_50k/K00159_K00159_01_eomega_posterior.npz,uniform_paired_direct_importance,original_alderaan_archive,alderaan,False,missing_qc_reason,posterior_available
2683,5088536,K00282.02,Kepler-130 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.45744892,2.831e-05,-2.831e-05,139.06689,0.00272,-0.00272,2454972.067,0.00272,-0.00272,0.0,,,,,,0.494,0.044,-0.423,3.2893,0.077,-0.077,,,,77.4,2.7,-2.7,0.008247,6.1e-05,-0.000389,1.36334,0.78077,-0.05205,LS+MCMC,1.02,0.05,-0.04,0.0799,,,88.36,,,982.0,,,220.05,31.36,-28.07,17.27,4.9,-4.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2916,0.3447,q1_q17_dr25_koi,5.0715265,24.473572,31.0,3,160.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.1766,Mandel and Agol (2002 ApJ 580 171),,,005/005088/005088536/dv/kplr005088536-20160209194854_dvr.pdf,005/005088/005088536/dv/kplr005088536-002-20160209194854_dvs.pdf,5903.0,70.0,-79.0,4.304,0.02,-0.018,-0.16,0.15,-0.15,1.137,0.05,-0.046,0.95,0.068,-0.061,,,,q1_q17_dr25_stellar,288.45065,40.245327,11.529,12.13,11.581,,,10.81,10.529,10.49,0.096,19.2300474,8.4e-06,40.245157,9.4e-05,0.15,0.35,-0.61,0.34,-2.2e-05,2.6e-05,2.6e-05,2.6e-05,0.22,0.19,0.35,0.27,0.41,0.25,0.16,0.24,0.04,0.23,0.16,0.22,K00282,multi,thick,0.7077,True,thick,0.7077,207,212,5,candidate_in_category_with_unpublished_final_rejections,1.026,6058.7,4.35,-0.168,1.118,-0.139,-1.101,-1.126,4.19,5887.0,1.146,0.0,0.0,True,False,True,original_archive,untracked_local_posterior/published_inventory_archive_equal_50k/K00282_K00282_02_eomega_posterior.npz,uniform_paired_direct_importance,original_alderaan_archive,alderaan,False,missing_qc_reason,posterior_available
2983,5088536,K00282.01,Kepler-130 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,27.50871575,2.239e-05,-2.239e-05,182.103494,0.000635,-0.000635,2455015.103,0.000635,-0.000635,0.0,,,,,,0.577,0.053,-0.417,5.9291,0.0409,-0.0409,,,,639.2,3.7,-3.7,0.023998,0.001387,-0.000828,0.67408,0.43728,-0.3393,LS+MCMC,2.98,0.13,-0.12,0.1754,,,88.9,,,663.0,,,45.66,6.51,-5.82,29.99,9.7,-9.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2916,0.3447,q1_q17_dr25_koi,26.59167,137.73535,190.3,3,47.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.3605,Mandel and Agol (2002 ApJ 580 171),,,005/005088/005088536/dv/kplr005088536-20160209194854_dvr.pdf,005/005088/005088536/dv/kplr005088536-001-20160209194854_dvs.pdf,5903.0,70.0,-79.0,4.304,0.02,-0.018,-0.16,0.15,-0.15,1.137,0.05,-0.046,0.95,0.068,-0.061,,,,q1_q17_dr25_stellar,288.45065,40.245327,11.529,12.13,11.581,,,10.81,10.529,10.49,0.728,19.2300396,1.5e-06,40.245254,1.8e-05,-0.173,0.063,-0.261,0.063,2e-05,4.1e-05,-7e-06,4.1e-05,-0.16,0.1,0.04,0.17,0.17,0.11,-0.241,0.099,-0.24,0.16,0.34,0.13,K00282,multi,thick,0.7077,True,thick,0.7077,207,212,5,candidate_in_category_with_unpublished_final_rejections,1.026,6058.7,4.35,-0.168,1.118,-0.139,-1.101,-1.126,4.19,5887.0,1.146,0.0,0.0,True,False,True,original_archive,untracked_local_posterior/published_inventory_archive_equal_50k/K00282_K00282_01_eomega_posterior.npz,uniform_paired_direct_importance,original_alderaan_archive,alderaan,False,missing_qc_reason,posterior_available
2728,5088536,K00282.03,Kepler-130 d,CONFIRMED,Done,2018-08-16,CANDIDATE,0.894,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,87.5177787,0.0006657,-0.0006657,201.15451,0.00507,-0.00507,2455034.155,0.00507,-0.00507,0.0,,,,,,0.983,0.029,-0.735,2.55,0.171,-0.171,,,,136.5,13.2,-13.2,0.014911,0.001218,-0.004746,0.73311,100.29045,-3.32876,LS+MCMC,1.85,0.08,-0.07,0.3794,,,89.16,,,451.0,,,9.76,1.39,-1.25,66.7,33.3,-33.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2916,0.3447,q1_q17_dr25_koi,5.3133407,10.864963,12.2,3,14.0,3.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.3603,Mandel and Agol (2002 ApJ 580 171),,,005/005088/005088536/dv/kplr005088536-20160209194854_dvr.pdf,005/005088/005088536/dv/kplr005088536-003-20160209194854_dvs.pdf,5903.0,70.0,-79.0,4.304,0.02,-0.018,-0.16,0.15,-0.15,1.137,0.05,-0.046,0.95,0.068,-0.061,,,,q1_q17_dr25_stellar,288.45065,40.245327,11.529,12.13,11.581,,,10.81,10.529,10.49,0.488,19.230045,2.1e-05,40.2451,0.00023,0.07,0.85,-0.81,0.84,-3e-05,0.00011,7e-05,0.00011,-0.2,0.27,-0.18,0.39,0.27,0.33,-0.29,0.26,-0.48,0.38,0.56,0.35,K00282,multi,thick,0.7077,True,thick,0.7077,207,212,5,candidate_in_category_with_unpublished_final_rejections,1.026,6058.7,4.35,-0.168,1.118,-0.139,-1.101,-1.126,4.19,5887.0,1.146,0.0,0.0,True,False,True,original_archive,untracked_local_posterior/published_inventory_archive_equal_50k/K00282_K00282_03_eomega_posterior.npz,uniform_paired_direct_importance,original_alderaan_archive,alderaan,False,missing_qc_reason,posterior_available
2801,9881662,K00327.01,Kepler-140 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.254277742,5.223e-06,-5.223e-06,172.66256,0.00133,-0.00133,2455005.663,0.00133,-0.00133,0.0,,,,,,0.303,0.117,-0.303,2.9903,0.0396,-0.0396,,,,159.9,3.2,-3.2,0.011619,0.000192,-0.000248,0.93176,0.18237,-0.1683,LS+MCMC,1.38,0.22,-0.12,0.0443,,,87.84,,,1301.0,,,675.56,299.69,-159.33,8.05,1.6,-1.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2826,0.3729,q1_q17_dr25_koi,5.182033,46.75412,58.6,2,410.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.4764,Mandel and Agol (2002 ApJ 580 171),,,009/009881/009881662/dv/kplr009881662-20160209194854_dvr.pdf,009/009881/009881662/dv/kplr009881662-001-20160209194854_dvs.pdf,5945.0,106.0,-130.0,4.402,0.054,-0.117,0.16,0.15,-0.15,1.089,0.174,-0.094,1.092,0.077,-0.077,,,,q1_q17_dr25_stellar,287.36948,46.768219,12.996,13.316,12.939,12.858,12.855,11.989,11.759,11.709,0.23,19.1579594,6.3e-06,46.768198,4.9e-05,-0.22,0.23,-0.08,0.18,-4.9e-05,3.7e-05,6e-06,2.8e-05,0.24,0.17,0.13,0.1,0.28,0.15,0.0,0.13,0.03,0.18,0.03,0.18,K00327,multi,thick,1.0,True,thick,1.0,207,212,5,candidate_in_category_with_unpublished_final_rejections,1.081,6045.5,4.329,-0.02,1.174,-0.18,-1.135,-1.172,3.65,6024.0,1.187,0.0,0.0,True,False,True,original_archive,untracked_local_posterior/published_inventory_archive_equal_50k/K00327_K00327_01_eomega_posterior.npz,uniform_paired_direct_importance,original_alderaan_archive,alderaan,False,missing_qc_reason,posterior_available
