population,recovery_class,canonical_action,systems,planets
thick_multis,A_never_attempted_snr_ge_20,canonical_run,1,2
thick_multis,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc,2,3
thick_multis,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry,2,3
thick_singles,A_never_attempted_snr_ge_20,canonical_run,2,2
thick_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc,7,7
thick_singles,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry,4,4
thick_singles,D_prior_failed_snr_lt_20,canonical_run_then_seeded_retry_and_visual_qc,5,5
thin_multis,A_never_attempted_snr_ge_20,canonical_run,16,38
thin_multis,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc,8,13
thin_multis,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry,2,4
thin_singles,A_never_attempted_snr_ge_20,canonical_run,40,40
thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc,40,40
thin_singles,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry,5,5
thin_singles,D_prior_failed_snr_lt_20,canonical_run_then_seeded_retry_and_visual_qc,8,8
