target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr,prior_launch_status,population,recovery_class,canonical_action
0,K01602,4860678,thick,multi,0.9997,2,"K01602.02,K01602.01",3.03359398,9.97716876,21.8,2,"K01602.02,K01602.01",3.03359398,9.97716876,21.8,not_in_previous_592_target_launch,thick_multis,A_never_attempted_snr_ge_20,canonical_run
1,K01788,2975770,thick,multi,1.0,1,K01788.01,71.52543938,71.52543938,111.3,1,K01788.01,71.52543938,71.52543938,111.3,previously_launched_no_usable_result,thick_multis,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry
2,K02175,9022166,thick,multi,0.8953,2,"K02175.01,K02175.02",26.8475962,72.3826983,39.2,2,"K02175.01,K02175.02",26.8475962,72.3826983,39.2,previously_launched_no_usable_result,thick_multis,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry
3,K02838,6607357,thick,multi,0.9933,2,"K02838.02,K02838.01",4.77466043,7.69994466,17.4,2,"K02838.02,K02838.01",4.77466043,7.69994466,17.4,not_in_previous_592_target_launch,thick_multis,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
4,K05475,8105398,thick,multi,0.6535,1,K05475.02,5.68325648,5.68325648,10.0,1,K05475.02,5.68325648,5.68325648,10.0,not_in_previous_592_target_launch,thick_multis,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
5,K00097,5780885,thick,single,0.998,1,K00097.01,4.885488596,4.885488596,2590.1,1,K00097.01,4.885488596,4.885488596,2590.1,not_in_previous_592_target_launch,thick_singles,A_never_attempted_snr_ge_20,canonical_run
6,K00176,6442377,thick,single,0.91,1,K00176.01,30.22910274,30.22910274,71.7,1,K00176.01,30.22910274,30.22910274,71.7,not_in_previous_592_target_launch,thick_singles,A_never_attempted_snr_ge_20,canonical_run
7,K00281,4143755,thick,single,0.5522,1,K00281.01,19.55662003,19.55662003,111.0,1,K00281.01,19.55662003,19.55662003,111.0,previously_launched_no_usable_result,thick_singles,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry
8,K00674,7277317,thick,single,0.8343,1,K00674.01,16.33888067,16.33888067,201.9,1,K00674.01,16.33888067,16.33888067,201.9,previously_launched_no_usable_result,thick_singles,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry
9,K02046,10663396,thick,single,0.9929,1,K02046.01,23.8990075,23.8990075,61.5,1,K02046.01,23.8990075,23.8990075,61.5,previously_launched_no_usable_result,thick_singles,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry
