kepid,catalog_koi_count,all_catalog_rows,nonfp_all_periods,nonfp_period_1_to_100,koi_count_vs_nonfp_all_periods_diff,koi_count_vs_nonfp_period_1_to_100_diff
10797460,2,2,2,2,False,False
10811496,1,1,1,1,False,False
10854555,1,1,1,1,False,False
10872983,3,3,3,3,False,False
10910878,3,3,3,3,False,False
6922244,1,1,1,1,False,False
10526549,1,1,1,1,False,False
10583066,1,1,1,1,False,False
10601284,3,3,3,3,False,False
10682541,1,1,1,1,False,False
11507101,1,1,1,1,False,False
10987985,1,1,1,1,False,False
11018648,2,2,2,2,False,False
11138155,1,1,1,1,False,False
11153539,1,1,1,1,False,False
9579641,3,3,3,3,False,False
11304958,1,1,1,1,False,False
11391957,1,1,1,1,False,False
11403044,1,1,1,1,False,False
11414511,1,1,1,1,False,False
12110942,1,1,1,1,False,False
12366084,3,3,3,2,False,True
12404086,1,1,1,1,False,False
8395660,4,4,4,4,False,False
11754553,3,3,3,3,False,False
11812062,1,1,1,1,False,False
11818800,1,1,1,1,False,False
11853255,1,1,1,1,False,False
11918099,2,2,2,2,False,False
11960862,1,1,1,1,False,False
12020329,1,1,1,1,False,False
12066335,2,2,2,2,False,False
12070811,1,1,1,1,False,False
3342970,2,2,2,2,False,False
12470844,2,2,2,2,False,False
12644822,1,1,1,1,False,False
2713049,1,1,1,1,False,False
3114167,1,1,1,1,False,False
4139816,4,4,4,4,False,False
4476123,1,1,1,1,False,False
3351888,1,1,1,1,False,False
3453214,1,1,1,1,False,False
3641726,1,1,1,1,False,False
3935914,1,1,1,1,False,False
3940418,1,1,1,1,False,False
4049131,1,1,1,1,False,False
5358624,1,1,1,1,False,False
4544670,1,1,1,1,False,False
4664847,1,1,1,1,False,False
4725681,2,2,2,2,False,False
5021899,1,1,1,1,False,False
5164255,1,1,1,1,False,False
5252423,2,2,2,2,False,False
5651104,1,1,1,1,False,False
5792202,5,5,5,3,False,True
5456651,2,2,2,2,False,False
5531576,2,2,2,2,False,False
6291653,1,1,1,1,False,False
6392727,1,1,1,1,False,False
6422070,1,1,1,1,False,False
6428700,2,2,2,2,False,False
5881688,1,1,1,1,False,False
6022556,1,1,1,1,False,False
6032497,1,1,1,1,False,False
6061119,1,1,1,1,False,False
6191521,1,1,1,1,False,False
6276477,1,1,1,1,False,False
6948054,4,4,4,4,False,False
6522242,1,1,1,1,False,False
6526710,1,1,1,1,False,False
6587280,2,2,2,2,False,False
6599919,1,1,1,1,False,False
6685526,1,1,1,1,False,False
6784235,1,1,1,1,False,False
6849310,3,3,3,3,False,False
7366258,4,4,4,4,False,False
7373451,2,2,2,1,False,True
6949607,2,2,2,2,False,False
7109675,2,2,2,2,False,False
7118364,1,1,1,1,False,False
7134976,2,2,2,2,False,False
7135852,1,1,1,1,False,False
7287995,3,3,3,3,False,False
7303253,1,1,1,1,False,False
5094751,2,2,2,2,False,False
7678434,2,2,2,2,False,False
7685981,1,1,1,1,False,False
7380537,1,1,1,1,False,False
7455287,3,3,3,3,False,False
7458762,1,1,1,1,False,False
757450,1,1,1,1,False,False
7585481,1,1,1,1,False,False
7663691,1,1,1,1,False,False
5812701,1,1,1,1,False,False
8013419,1,1,1,1,False,False
8018547,1,1,1,1,False,False
8150320,5,5,5,5,False,False
11086270,2,2,2,2,False,False
7849854,1,1,1,1,False,False
7870390,3,3,3,3,False,False
7938496,1,1,1,1,False,False
8490993,2,2,2,1,False,True
8505670,2,2,2,2,False,False
8552202,1,1,1,1,False,False
8226994,3,3,3,3,False,False
8247638,4,4,4,4,False,False
8255887,1,1,1,1,False,False
9140402,1,1,1,1,False,False
9166862,1,1,1,1,False,False
11449844,1,1,1,1,False,False
8628973,1,1,1,1,False,False
8689031,1,1,1,1,False,False
8689373,3,3,3,3,False,False
8883593,1,1,1,1,False,False
8951215,1,1,1,1,False,False
9077124,1,1,1,1,False,False
9466668,4,4,4,4,False,False
9479273,1,1,1,1,False,False
8359498,1,1,1,1,False,False
9334289,3,3,3,3,False,False
9347899,4,4,4,4,False,False
11359879,1,1,1,1,False,False
9406990,1,1,1,1,False,False
9415172,3,3,3,3,False,False
2860866,1,1,1,1,False,False
7626506,2,2,2,2,False,False
10482160,1,1,1,1,False,False
3240158,3,3,3,3,False,False
3218908,3,3,3,3,False,False
10350571,3,3,2,2,True,True
3749365,1,1,1,1,False,False
11013201,2,2,2,2,False,False
6131236,1,1,1,1,False,False
2837111,2,2,2,2,False,False
9032900,1,1,1,1,False,False
5956342,4,4,4,4,False,False
3116412,1,1,1,1,False,False
8394721,4,4,4,4,False,False
2854698,2,2,2,2,False,False
8559644,2,2,2,1,False,True
3114811,1,1,1,1,False,False
3554031,3,3,3,3,False,False
7295235,1,1,1,1,False,False
2302548,2,2,2,2,False,False
9818381,1,1,1,1,False,False
6060203,1,1,1,1,False,False
5880320,4,4,4,4,False,False
3859079,1,1,1,1,False,False
3962243,3,3,3,3,False,False
1432789,2,2,2,2,False,False
1718189,3,3,3,3,False,False
5735762,3,3,3,3,False,False
6359320,3,3,3,3,False,False
3859628,1,1,1,1,False,False
8260218,1,1,1,1,False,False
8222813,2,2,2,2,False,False
6272413,1,1,1,1,False,False
2165002,2,2,2,2,False,False
1871056,2,2,2,1,False,True
3438507,1,1,1,1,False,False
3869014,1,1,1,1,False,False
8229696,1,1,1,1,False,False
10272640,1,1,1,1,False,False
8346392,1,1,1,1,False,False
8288947,1,1,1,1,False,False
9512687,1,1,1,1,False,False
8644288,3,3,3,3,False,False
1725016,1,1,1,1,False,False
8313667,1,1,1,1,False,False
8351704,1,1,1,1,False,False
9513865,1,1,1,1,False,False
9605514,3,3,3,3,False,False
8158127,3,3,3,3,False,False
10141900,4,4,4,4,False,False
8410727,2,2,2,2,False,False
9710326,1,1,1,1,False,False
9761882,1,1,1,1,False,False
9766437,1,1,1,1,False,False
9772531,1,1,1,1,False,False
8174625,1,1,1,1,False,False
10157458,2,2,2,2,False,False
10122255,1,1,1,1,False,False
3835670,1,1,1,1,False,False
10295951,1,1,1,1,False,False
9787239,5,5,5,4,False,True
2716853,2,2,1,1,True,True
2715135,1,1,1,1,False,False
3247268,2,2,2,2,False,False
10330115,1,1,1,1,False,False
10426656,3,3,3,3,False,False
9820483,1,1,1,1,False,False
7778437,1,1,1,1,False,False
9823457,2,2,2,2,False,False
2164169,1,1,1,1,False,False
2574338,1,1,1,1,False,False
2584163,1,1,1,1,False,False
3329204,1,1,1,1,False,False
10468940,2,2,2,2,False,False
9825625,1,1,1,1,False,False
9875711,1,1,1,1,False,False
10337517,2,2,2,2,False,False
10351231,1,1,1,1,False,False
7102227,3,3,3,2,False,True
6837146,1,1,1,1,False,False
11122894,3,3,3,2,False,True
6607286,2,2,2,1,False,True
6690082,2,2,2,2,False,False
6448890,2,2,2,2,False,False
10730034,2,2,2,2,False,False
6936909,2,2,2,2,False,False
11176127,3,3,3,3,False,False
11014932,4,4,4,4,False,False
6607447,1,1,1,1,False,False
8030148,1,1,1,1,False,False
6693640,1,1,1,1,False,False
10973814,2,2,2,2,False,False
10586208,1,1,1,1,False,False
6932987,2,2,2,2,False,False
6441738,1,1,1,1,False,False
10854768,1,1,1,1,False,False
10713616,1,1,1,1,False,False
8191672,1,1,1,1,False,False
11037335,2,2,2,2,False,False
8494263,1,1,1,1,False,False
10585852,1,1,1,1,False,False
7287415,1,1,1,1,False,False
6924203,1,1,1,1,False,False
11599038,3,3,1,1,True,True
11193263,1,1,1,1,False,False
11032227,1,1,1,1,False,False
