kepid,gaia_dr3_source_id,ra_deg,dec_deg,parallax_mas,z_galcen_kpc,r_galcen_kpc,phi_galcen_rad,vr_infer_kms,vphi_infer_kms,vz_infer_kms,vr_calc_kms,vphi_calc_kms,vz_calc_kms,p_thick_published,disk_published,has_measured_velocity,vr_used_kms,vphi_used_kms,vz_used_kms,V_phi,V_perp,V_phi_astropy,V_perp_astropy,V_phi_geom,V_perp_geom,disk,disk_inventory,disk_published_inventory,p_thick_published_inventory,vperp_published,label_agrees_current,label_agrees_inventory
757450,2050231848829944320,291.1376,36.5773,1.2313,0.1541,7.8439,3.0486,17.934,-235.4519,-26.0,0.0,0.0,0.0,0.0704,thin,False,17.934,-235.4519,-26.0,236.1,26.30589287593181,-235.4113338554899,31.885951332508203,235.4579129474644,31.5401526696415,thin,thin,thin,0.0704,31.585255357524023,True,True
1432789,2051748659478657152,291.4994,37.0593,0.563,0.3042,7.5435,2.9367,-1.0711,-230.7452,-28.0,0.0,0.0,0.0,0.0554,thin,False,-1.0711,-230.7452,-28.0,225.7,55.569775957799216,-230.7439974475567,28.030298641326592,230.7476681273914,28.000065245838996,thin,thin,thin,0.0554,28.02047921092714,True,True
1717722,2051027792165858304,290.6179,37.2891,1.6898,0.1253,7.9229,3.074,4.5665,-215.5836,43.0,15.5039,-179.4828,36.07,0.6952,thick,True,15.5039,-179.4828,36.07,180.12,36.22523153825245,-179.46348344192057,39.34895056912568,179.49211703617655,39.21813001497536,thick,thick,thick,0.6952,39.26086875261423,True,True
1718189,2051030231707057024,290.7287,37.2527,1.5931,0.1308,7.9106,3.0697,14.003,-236.3045,-22.0,0.0,0.0,0.0,0.0538,thin,False,14.003,-236.3045,-22.0,236.7,22.20360331117452,-236.2868947348351,26.23725169618465,236.31442688054025,25.988105897156206,thin,thin,thin,0.0538,26.078420370106777,True,True
1721157,2051768072730903552,291.4573,37.2069,1.6676,0.1201,7.9224,3.073,20.4942,-225.3252,16.0,24.1096,-212.2967,13.63,0.0738,thin,True,24.1096,-212.2967,13.63,213.45,16.614057300972572,-212.26371629378409,27.94716703266988,212.3089931330045,27.601102058610756,thin,thin,thin,0.0738,27.695662334741158,True,True
1724719,2051721480924900224,292.2047,37.2212,1.0664,0.1675,7.8144,3.033,14.4295,-224.6593,8.0,14.6144,-222.8486,7.36,0.0445,thin,True,14.6144,-222.8486,7.36,223.12,12.112555469429232,-222.8116610102713,16.85859181082269,222.85613485803927,16.260121651925232,thin,thin,thin,0.0445,16.363076952700553,True,True
1725016,2051722855314502400,292.2629,37.237,0.5983,0.2738,7.5909,2.9498,22.0344,-223.6005,-2.0,27.0831,-194.2597,-6.7,0.1921,thin,True,27.0831,-194.2597,-6.7,195.86,12.413400017722784,-193.96043655595565,29.909549495489053,194.11902608613204,28.862359767898187,thick,thin,thin,0.1921,27.899539523260955,False,True
1865864,2051032155852580608,290.873,37.3623,1.6092,0.1289,7.9147,3.0706,52.9467,-222.8041,34.0,60.5932,-195.8534,29.35,0.9781,thick,True,60.5932,-195.8534,29.35,199.66,55.021760240835626,-195.76895032498183,67.57238924778953,195.88656476751996,67.2306733833615,thick,thick,thick,0.9781,67.32724846776378,True,True
1871056,2051738798233021952,292.04,37.38,1.03,0.18,7.8,3.03,-13.06,-231.14,-24.0,-13.77,-234.37,-23.28,0.05,thin,True,-13.77,-234.37,-23.28,231.33,46.341809416551705,-234.40602517349424,26.73850336804944,234.3638521292036,27.10566389448514,thin,thin,thin,0.05,27.047574752646494,True,True
1872821,2051816485600508544,292.4276,37.3208,1.1718,0.1524,7.8449,3.0431,0.9,-232.9395,-23.0,-4.6957,-254.6245,-19.71,0.0877,thin,True,-4.6957,-254.6245,-19.71,252.93,35.64511326956333,-254.63517190612384,20.126803728827987,254.6231621844612,20.278172481403672,thick,thin,thin,0.0877,20.261631190257116,False,True
