kepid,kepoi_name,disk,system,new_system,koi_count,koi_period,koi_model_snr,koi_prad,P_thick,classifier,system_definition
7373451,K00881.01,thin,single,multi,2,21.02250608,62.4,3.07,0.0929317242203308,direct,koi_count_gt1_catalog
8490993,K00911.01,thin,single,multi,2,4.093578461,36.4,2.85,0.1440401686715712,direct,koi_count_gt1_catalog
8559644,K00139.02,thin,single,multi,2,3.341799486,48.8,1.67,0.0380581252045982,direct,koi_count_gt1_catalog
1871056,K01001.01,thin,single,multi,2,40.8065333,54.8,3.71,0.0660998437367414,direct,koi_count_gt1_catalog
5446285,K00142.01,thin,single,multi,2,10.916108342,302.2,3.93,0.0574700316799653,direct,koi_count_gt1_catalog
2716853,K01022.01,thin,single,multi,2,18.82744023,29.5,2.7,0.0819952609673403,direct,koi_count_gt1_catalog
6607286,K01239.02,thick,single,multi,2,3.17405898,29.2,2.09,0.6189291159363527,direct,koi_count_gt1_catalog
10963242,K01312.01,thin,single,multi,2,6.1469956,25.8,2.04,0.303530098239838,direct,koi_count_gt1_catalog
11599038,K01437.01,thick,single,multi,3,7.01733571,15.5,1.61,0.931077549651576,direct,koi_count_gt1_catalog
9150827,K01408.01,thin,single,multi,2,14.53410833,32.5,1.36,0.1676826091272211,direct,koi_count_gt1_catalog
7303287,K01353.02,thin,single,multi,3,34.5439452,23.4,2.67,0.047952141244379,direct,koi_count_gt1_catalog
9896558,K01718.01,thin,single,multi,2,67.6690554,37.2,3.39,0.208393431233014,direct,koi_count_gt1_catalog
10749128,K01639.02,thin,single,multi,2,9.9824036,5.4,1.17,0.1616437055963546,direct,koi_count_gt1_catalog
11337372,K01650.01,thick,single,multi,2,6.53194024,39.6,3.09,0.9304023952311616,direct,koi_count_gt1_catalog
7939330,K01581.01,thick,single,multi,2,29.5422566,39.5,3.15,0.9975827860177974,direct,koi_count_gt1_catalog
8692861,K00172.01,thick,single,multi,2,13.7223682,97.9,2.23,0.6473619407664287,direct,koi_count_gt1_catalog
9663113,K00179.01,thick,single,multi,2,20.74028645,155.3,4.24,0.9816852819847428,direct,koi_count_gt1_catalog
7703955,K01707.01,thin,single,multi,2,96.109323,28.7,4.01,0.0519383349438238,direct,koi_count_gt1_catalog
7898352,K01486.02,thick,single,multi,2,30.1837021,37.9,3.65,0.9993712024148385,direct,koi_count_gt1_catalog
10019708,K00199.01,thin,single,multi,2,3.268695042,1429.9,16.91,0.251868222449104,direct,koi_count_gt1_catalog
9650808,K01970.01,thick,single,multi,2,21.96401646,26.9,2.57,0.7056457782796478,direct,koi_count_gt1_catalog
8804845,K02039.01,thin,single,multi,2,5.42586901,26.1,1.48,0.0500728633658312,direct,koi_count_gt1_catalog
2975770,K01788.01,thick,single,multi,2,71.52543938,111.3,5.76,1.0,direct,koi_count_gt1_catalog
9839821,K02012.01,thin,single,multi,2,34.8536903,27.0,2.4,0.0346875514277763,direct,koi_count_gt1_catalog
4349442,K01803.01,thin,single,multi,3,4.539297295,50.3,2.34,0.1337847545648595,direct,koi_count_gt1_catalog
2438513,K01944.01,thin,single,multi,2,12.18420006,23.3,2.59,0.0432868138613544,direct,koi_count_gt1_catalog
5942808,K02250.01,thin,single,multi,2,2.935362067,38.0,3.15,0.046613611171255,direct,koi_count_gt1_catalog
10518424,K02188.02,thin,single,multi,2,6.7445683,6.8,0.86,0.0985099158476417,direct,koi_count_gt1_catalog
8219268,K02133.01,thick,single,multi,2,6.24667547,63.6,14.93,0.9737164081920648,direct,koi_count_gt1_catalog
4142847,K02210.01,thin,single,multi,2,2.888904439,23.7,1.68,0.0410531127642531,direct,koi_count_gt1_catalog
11560897,K02365.01,thin,single,multi,2,35.9682692,21.0,2.95,0.0507057776039017,direct,koi_count_gt1_catalog
9517393,K02076.01,thin,single,multi,2,56.7769831,33.6,3.21,0.0983876675882683,direct,koi_count_gt1_catalog
9351316,K02078.01,thin,single,multi,2,18.78429232,23.8,2.14,0.0436516595194216,direct,koi_count_gt1_catalog
2853780,K02081.01,thick,single,multi,2,6.2141496,53.4,4.27,0.9964946509898548,direct,koi_count_gt1_catalog
4173026,K02172.01,thin,single,multi,2,10.44087398,22.2,3.41,0.0428685404349355,direct,koi_count_gt1_catalog
