metric,value,sample
hosts,1888.0,published_table1
thin,1515.0,published_table1
thick,373.0,published_table1
measured_velocity,585.0,published_table1
sample_planets,2642.0,canonical_sample_strict_raw_no_bin
sample_hosts,1970.0,canonical_sample_strict_raw_no_bin
overlap_hosts,1764.0,canonical_sample_strict_raw_no_bin
sample_only_hosts,206.0,canonical_sample_strict_raw_no_bin
published_only_hosts,124.0,canonical_sample_strict_raw_no_bin
disk_agreement_fraction,0.8458049886621315,canonical_sample_strict_raw_no_bin
disk_disagreements,272.0,canonical_sample_strict_raw_no_bin
published_relabel_planets,2329.0,canonical_sample_strict_raw_no_bin
published_relabel_hosts,1764.0,canonical_sample_strict_raw_no_bin
published_relabel_thin_single_planets,1082.0,canonical_sample_strict_raw_no_bin
published_relabel_thin_multi_planets,773.0,canonical_sample_strict_raw_no_bin
published_relabel_thick_single_planets,278.0,canonical_sample_strict_raw_no_bin
published_relabel_thick_multi_planets,196.0,canonical_sample_strict_raw_no_bin
sample_planets,2474.0,canonical_sample_strict_raw_bin0
sample_hosts,1857.0,canonical_sample_strict_raw_bin0
overlap_hosts,1659.0,canonical_sample_strict_raw_bin0
sample_only_hosts,198.0,canonical_sample_strict_raw_bin0
published_only_hosts,229.0,canonical_sample_strict_raw_bin0
disk_agreement_fraction,0.8203737191078964,canonical_sample_strict_raw_bin0
disk_disagreements,298.0,canonical_sample_strict_raw_bin0
published_relabel_planets,2179.0,canonical_sample_strict_raw_bin0
published_relabel_hosts,1659.0,canonical_sample_strict_raw_bin0
published_relabel_thin_single_planets,1019.0,canonical_sample_strict_raw_bin0
published_relabel_thin_multi_planets,707.0,canonical_sample_strict_raw_bin0
published_relabel_thick_single_planets,266.0,canonical_sample_strict_raw_bin0
published_relabel_thick_multi_planets,187.0,canonical_sample_strict_raw_bin0
