panel,disk,system,planets,hosts,median_display_vphi,median_vperp,p90_vperp,median_panel_p_thick
direct_angus,thin,single,1096,1096,227.04922593350904,26.857189061474063,53.351209914288944,0.9980704757139777
direct_angus,thin,multi,886,390,227.71616955529038,24.407609919550183,54.12956111033159,0.9979926874381122
direct_angus,thick,single,285,285,207.3088087012825,57.049094251404014,90.41730757134593,0.9738461249686394
direct_angus,thick,multi,207,86,207.0423536354151,57.2543029756049,90.30938779559881,0.9565350080627397
old_astropy,thin,single,1096,1096,-227.04922593350904,26.857189061474063,53.351209914288944,0.9980704757139777
old_astropy,thin,multi,886,390,-227.71616955529038,24.407609919550183,54.12956111033159,0.9979926874381122
old_astropy,thick,single,285,285,-207.3088087012825,57.049094251404014,90.41730757134593,0.9738461249686394
old_astropy,thick,multi,207,86,-207.0423536354151,57.2543029756049,90.30938779559881,0.9565350080627397
chemical_classifier,thin,single,1096,1096,-227.04922593350904,26.857189061474063,53.351209914288944,0.39626975247225216
chemical_classifier,thin,multi,886,390,-227.71616955529038,24.407609919550183,54.12956111033159,0.39092014129032127
chemical_classifier,thick,single,285,285,-207.3088087012825,57.049094251404014,90.41730757134593,0.5755022295207025
chemical_classifier,thick,multi,207,86,-207.0423536354151,57.2543029756049,90.30938779559881,0.5790692765118058
