population,n,model,selection_mode,outlier_floor,status,nll,mean_e,alpha,beta,comparison_value,sigma
thick_singles,269,beta,manuscript_reciprocal,0.0,ok,-32.34838210630234,0.01480474482163368,1.2928491957665689,91.81588948814083,0.01480474482163368,
thick_singles,269,monotonic_beta,manuscript_reciprocal,0.0,ok,-31.693714006672792,0.026227942724508825,0.99999999,37.03940376670721,0.026227942724508825,
thick_singles,269,half_gaussian,manuscript_reciprocal,0.0,ok,-31.81549832709667,0.01555764997518975,,,0.0195417284935286,0.0195417284935286
thin_singles,1109,beta,manuscript_reciprocal,0.0,ok,-160.28060450970162,0.03472628762739258,1.165960850231575,33.353446773065386,0.03472628762739258,
thin_singles,1109,monotonic_beta,manuscript_reciprocal,0.0,ok,-159.77118926450083,0.03374695189089997,0.99999999,28.591586002677733,0.03374695189089997,
thin_singles,1109,half_gaussian,manuscript_reciprocal,0.0,ok,-159.53497510085464,0.04233620661384246,,,0.053076418844389316,0.053076418844389316
thick_multis,209,beta,manuscript_reciprocal,0.0,ok,-89.72349780407589,0.0075410807228511855,5.504741907470537,720.6221891674244,0.0075410807228511855,
thick_multis,209,monotonic_beta,manuscript_reciprocal,0.0,ok,-90.56096958810494,0.004638352020193849,0.9772620128409466,171.51034591044822,0.004638352020193849,
thick_multis,209,half_gaussian,manuscript_reciprocal,0.0,ok,-90.3978659216227,0.004973046406310783,,,0.006366619833801567,0.006366619833801567
thin_multis,878,beta,manuscript_reciprocal,0.0,ok,-352.66924809482737,0.014524723683747692,0.9720612010636468,60.681319128871614,0.014524723683747692,
thin_multis,878,monotonic_beta,manuscript_reciprocal,0.0,ok,-352.6692480951063,0.014524788894802333,0.9720603066530183,60.6808286630882,0.014524788894802333,
thin_multis,878,half_gaussian,manuscript_reciprocal,0.0,ok,-352.6801579823181,0.017978902103000793,,,0.022570521136289247,0.022570521136289247
