model,source_order,target_order,rmse,mean_abs_error
beta,thin_singles|thick_singles|thick_multis|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.020974448467725455,0.02035079078609372
beta,thin_singles|thin_multis|thick_multis|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.021014462052419677,0.02035079078609372
beta,thin_singles|thick_singles|thin_multis|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.021549251469329705,0.02035079078609372
beta,thin_singles|thin_multis|thick_singles|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.021610887064124076,0.02035079078609372
beta,thin_singles|thick_multis|thin_multis|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.02253779544412238,0.02035079078609372
beta,thin_singles|thick_multis|thick_singles|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.022559527864379262,0.02035079078609372
beta,thick_singles|thin_singles|thick_multis|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.02448060111540037,0.02035079078609372
beta,thin_multis|thin_singles|thick_multis|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.02456054003685069,0.02035079078609372
beta,thick_singles|thin_singles|thin_multis|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.024974838965136085,0.02035079078609372
beta,thin_multis|thin_singles|thick_singles|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.02507275316449082,0.02035079078609372
beta,thick_singles|thin_multis|thick_multis|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.026842302707353768,0.022713934599790007
beta,thin_multis|thick_singles|thick_multis|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.0268839986560091,0.022713934599790007
beta,thick_multis|thin_singles|thin_multis|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.02693387975612564,0.02035079078609372
beta,thick_multis|thin_singles|thick_singles|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.02695206768876992,0.02035079078609372
beta,thick_singles|thick_multis|thin_multis|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.02805091482931935,0.022713934599790007
beta,thin_multis|thick_multis|thick_singles|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.02813812702854852,0.022713934599790004
beta,thick_singles|thin_multis|thin_singles|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.028559717064409202,0.026213934599790007
beta,thin_multis|thick_singles|thin_singles|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.02859890920825817,0.026213934599790007
beta,thick_multis|thick_singles|thin_multis|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.02906824961279898,0.022713934599790007
beta,thick_multis|thin_multis|thick_singles|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.029113971497580073,0.022713934599790004
beta,thick_singles|thick_multis|thin_singles|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.029284113381908717,0.02621393459979001
beta,thin_multis|thick_multis|thin_singles|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.029350972598789448,0.026213934599790004
beta,thick_multis|thick_singles|thin_singles|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.03026001667803151,0.02621393459979001
beta,thick_multis|thin_multis|thin_singles|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.030287765453761373,0.026213934599790004
half_gaussian,thin_singles|thin_multis|thick_multis|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.015029610262111824,0.014861177922997819
half_gaussian,thin_singles|thick_singles|thick_multis|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.015229798748391206,0.014861177922997819
half_gaussian,thin_singles|thin_multis|thick_singles|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.01669100414204865,0.014861177922997819
half_gaussian,thin_singles|thick_singles|thin_multis|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.017226792363247694,0.014861177922997819
half_gaussian,thin_singles|thick_multis|thick_singles|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.017635118992364654,0.014861177922997819
half_gaussian,thin_singles|thick_multis|thin_multis|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.017975332888319567,0.014861177922997819
half_gaussian,thin_multis|thin_singles|thick_multis|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.025850042580205318,0.022899387345192476
half_gaussian,thick_singles|thin_singles|thick_multis|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.026799249616434765,0.02289938734519248
half_gaussian,thin_multis|thin_singles|thick_singles|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.02685004908817368,0.02289938734519248
half_gaussian,thin_multis|thick_singles|thick_multis|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.027116306571879394,0.024899387345192474
half_gaussian,thick_singles|thin_multis|thick_multis|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.027914361454637986,0.024899387345192474
half_gaussian,thick_singles|thin_singles|thin_multis|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.027982412069261105,0.02289938734519248
half_gaussian,thin_multis|thick_multis|thick_singles|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.02853672605710949,0.02489938734519248
half_gaussian,thick_singles|thick_multis|thin_multis|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.029604644622678804,0.024899387345192474
half_gaussian,thin_multis|thick_singles|thin_singles|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.030366647463006196,0.028899387345192477
half_gaussian,thin_multis|thick_multis|thin_singles|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.030797459237118158,0.028899387345192477
half_gaussian,thick_singles|thin_multis|thin_singles|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.03108135729762344,0.028899387345192477
half_gaussian,thick_multis|thin_singles|thick_singles|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.0314370721844192,0.02289938734519248
half_gaussian,thick_singles|thick_multis|thin_singles|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.0315983951185421,0.028899387345192477
